grid_lat,grid_height,nrcell_cid,nrcell_freq,cell_index,cell_type,total_avail_sample,avail_sample,avail_sample_ratio,total_thput_sample,thput_sample,thput_sample_ratio,thput_avg_dl,thput_std_dl,thput_0_dl,thput_10_dl,thput_25_dl,thput_50_dl,thput_75_dl,thput_90_dl,thput_100_dl,thput_avg_ul,thput_std_ul,thput_0_ul,thput_10_ul,thput_25_ul,thput_50_ul,thput_75_ul,thput_90_ul,thput_100_ul
40.4624,90,317,520110,4,5G,25,7,0.28,19,5,0.2631578947368421,0.7375999999999999,0.012800000000000011,0.712,0.7248,0.744,0.744,0.744,0.744,0.744,50.473600000000005,1.9615530173818911,47.024,48.16,49.864,50.872,52.072,52.3504,52.536,
40.4624,90,459,520110,5,5G,25,3,0.12,19,2,0.10526315789473684,0.748,0.03600000000000003,0.712,0.7192,0.73,0.748,0.766,0.7768,0.784,58.116,0.6679999999999993,57.448,57.5816,57.782,58.116,58.45,58.6504,58.784,
40.4624,90,700,125290,1,5G,25,3,0.12,19,2,0.10526315789473684,0.344,0.015999999999999986,0.328,0.3312,0.336,0.344,0.352,0.3568,0.36,15.931999999999999,0.30799999999999894,15.624,15.6856,15.778,15.931999999999999,16.086,16.1784,16.24,
40.4624,90,721,520110,2,5G,25,0,0.0,19,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
40.4623,90,749,520110,3,5G,26,13,0.5,20,12,0.6,0.45,0.09168787633415156,0.288,0.33440000000000003,0.40399999999999997,0.432,0.508,0.556,0.624,25.513999999999996,6.866647605151536,9.296,20.536,22.348,25.828000000000003,31.253999999999998,31.968,36.888,
40.4623,90,317,520110,4,5G,26,5,0.19230769230769232,20,3,0.15,0.584,0.164081280671095,0.352,0.42079999999999995,0.524,0.696,0.7,0.7023999999999999,0.704,37.18666666666666,15.365638317000984,15.496,21.776,31.196,46.896,48.032,48.7136,49.168,
40.4623,90,459,520110,5,5G,26,6,0.23076923076923078,20,3,0.15,0.7413333333333334,0.3842406653243366,0.232,0.352,0.532,0.832,0.996,1.0944,1.16,38.864,23.277927971936563,6.184,15.300800000000002,28.976,51.768,55.204,57.2656,58.64,
40.4623,90,700,125290,1,5G,26,2,0.07692307692307693,20,2,0.1,0.33999999999999997,0.011999999999999983,0.328,0.3304,0.334,0.33999999999999997,0.346,0.34959999999999997,0.352,17.060000000000002,0.38799999999999985,16.672,16.7496,16.866,17.060000000000002,17.254,17.3704,17.448,
40.4623,90,721,520110,2,5G,26,0,0.0,20,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
40.4622,90,749,520110,3,5G,28,15,0.5357142857142857,26,14,0.5384615384615384,0.47371428571428587,0.09132315351183913,0.376,0.4,0.40800000000000003,0.46,0.484,0.5512,0.752,28.367428571428572,6.275516845126734,15.232,21.2936,26.604,27.22,31.644,35.513600000000004,41.512,
40.4622,90,317,520110,4,5G,28,5,0.17857142857142858,26,4,0.15384615384615385,0.8579999999999999,0.17972200755611425,0.728,0.74,0.758,0.768,0.868,1.048,1.168,51.248,6.916375929632514,41.672,44.151199999999996,47.87,51.116,54.494,58.4504,61.088,
40.4622,90,459,520110,5,5G,28,5,0.17857142857142858,26,5,0.19230769230769232,0.5662,0.34532326883660763,0.135,0.1418,0.152,0.832,0.848,0.8576,0.864,37.173742857142855,26.828566358192123,2.447,4.356885714285714,7.2217142857142855,51.448,59.08,63.035199999999996,65.672,
40.4622,90,700,125290,1,5G,28,3,0.10714285714285714,26,3,0.11538461538461539,0.33866666666666667,0.04148359782961077,0.28,0.29760000000000003,0.324,0.368,0.368,0.368,0.368,16.869333333333334,1.1905643853045313,15.728,15.856,16.048,16.368,17.439999999999998,18.0832,18.512,
40.4622,90,721,520110,2,5G,28,0,0.0,26,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
40.4621,90,749,520110,3,5G,27,14,0.5185185185185185,25,13,0.52,0.43753846153846165,0.12434728996126157,0.28,0.3408,0.368,0.408,0.448,0.5984000000000002,0.768,25.606769230769228,7.511622073661241,3.824,21.6432,24.128,26.032,27.384,32.662400000000005,37.088,
40.4621,90,317,520110,4,5G,27,4,0.14814814814814814,25,3,0.12,0.7680000000000001,0.0510163372525573,0.728,0.7296,0.732,0.736,0.788,0.8191999999999999,0.84,52.458666666666666,4.389924626029725,46.264,48.0512,50.732,55.2,55.556,55.7696,55.912,
40.4621,90,459,520110,5,5G,27,7,0.25925925925925924,25,7,0.28,0.5315714285714286,0.35753595509217456,0.148,0.1768,0.226,0.353,0.8160000000000001,0.9488000000000001,1.136,31.678285714285714,25.160038205253105,8.182,8.6296,9.9695,11.531,60.239999999999995,61.1408,61.616,
40.4621,90,700,125290,1,5G,27,2,0.07407407407407407,25,2,0.08,0.388,0.01999999999999999,0.368,0.372,0.378,0.388,0.39799999999999996,0.40399999999999997,0.408,17.028,0.9240000000000013,16.104,16.2888,16.566,17.028,17.490000000000002,17.767200000000003,17.952,
40.4621,90,721,520110,2,5G,27,0,0.0,25,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
40.462,90,749,520110,3,5G,20,5,0.25,18,4,0.2222222222222222,0.41200000000000003,0.025612496949731396,0.376,0.3856,0.39999999999999997,0.412,0.424,0.4384,0.448,23.528000000000002,3.7025785609491133,17.336,19.5248,22.808,24.812,25.532,26.504,27.152,
40.462,90,317,520110,4,5G,20,3,0.15,18,2,0.1111111111111111,0.488,0.256,0.232,0.2832,0.36,0.488,0.616,0.6928,0.744,30.404,22.86,7.544,12.116,18.974,30.404,41.834,48.69200000000001,53.264,
40.462,90,459,520110,5,5G,20,10,0.5,18,10,0.5555555555555556,0.6157777777777778,0.2571689025610298,0.143,0.2103,0.43175,0.772,0.79,0.8,0.8,41.489333333333335,21.21097254881696,7.565,9.545300000000001,20.69025,53.275999999999996,57.114,57.5464,57.856,
40.462,90,700,125290,1,5G,20,2,0.1,18,2,0.1111111111111111,0.356,0.01999999999999999,0.336,0.34,0.34600000000000003,0.356,0.366,0.372,0.376,16.772,0.5559999999999992,16.216,16.3272,16.494,16.772,17.05,17.2168,17.328,
40.462,90,721,520110,2,5G,20,0,0.0,18,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
40.4619,90,749,520110,3,5G,27,6,0.2222222222222222,22,4,0.18181818181818182,0.42200000000000004,0.11830469136936199,0.264,0.30000000000000004,0.354,0.41600000000000004,0.484,0.5488,0.592,21.562,5.900685722863064,11.704,15.1144,20.23,23.616,24.948,26.366400000000002,27.312,
40.4619,90,317,520110,4,5G,27,6,0.2222222222222222,22,3,0.13636363636363635,0.864,0.1363915930938072,0.752,0.7584,0.768,0.784,0.92,1.0016,1.056,53.27733333333333,6.8388765809077805,43.768,46.3152,50.135999999999996,56.504,58.032,58.9488,59.56,
40.4619,90,459,520110,5,5G,27,12,0.4444444444444444,22,12,0.5454545454545454,0.6984166666666667,0.14038605007462657,0.285,0.58,0.7,0.736,0.778,0.8056000000000001,0.824,46.509083333333336,14.770127428125175,7.725,30.0664,43.384,51.84,53.730000000000004,56.772,66.112,
40.4619,90,700,125290,1,5G,27,3,0.1111111111111111,22,3,0.13636363636363635,0.36000000000000004,0.13497654117166683,0.184,0.224,0.28400000000000003,0.384,0.448,0.4864,0.512,12.530666666666667,6.737673056940521,3.056,5.7232,9.724,16.392,17.268,17.793599999999998,18.144,
40.4619,90,721,520110,2,5G,27,0,0.0,22,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
40.4618,90,749,520110,3,5G,22,7,0.3181818181818182,18,4,0.2222222222222222,0.376,0.02039607805437116,0.352,0.3544,0.358,0.376,0.394,0.3976,0.4,24.0,1.8544131147077234,21.264,21.888,22.824,24.416,25.592,25.7792,25.904,
40.4618,90,317,520110,4,5G,22,4,0.18181818181818182,18,3,0.16666666666666666,0.7013333333333334,0.015084944665312976,0.68,0.6864,0.696,0.712,0.712,0.712,0.712,50.512,1.0668533170028602,49.12,49.4368,49.912,50.704,51.208,51.510400000000004,51.712,
40.4618,90,459,520110,5,5G,22,9,0.4090909090909091,18,9,0.5,0.7217777777777777,0.16741815763582168,0.408,0.5296000000000001,0.656,0.712,0.816,0.9184,1.008,45.88355555555555,12.406789889331755,22.384,30.1472,33.688,51.8,55.632,57.2416,59.68,
40.4618,90,700,125290,1,5G,22,2,0.09090909090909091,18,2,0.1111111111111111,0.38,0.020000000000000018,0.36,0.364,0.37,0.38,0.39,0.396,0.4,16.108,0.31599999999999984,15.792,15.8552,15.95,16.108,16.266,16.3608,16.424,
40.4618,90,721,520110,2,5G,22,0,0.0,18,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
40.4617,90,317,520110,4,5G,24,4,0.16666666666666666,19,2,0.10526315789473684,0.716,0.0040000000000000036,0.712,0.7128,0.714,0.716,0.718,0.7192,0.72,51.424,3.3759999999999977,48.048,48.7232,49.736000000000004,51.424,53.111999999999995,54.1248,54.8,
40.4617,90,749,520110,3,5G,24,6,0.25,19,5,0.2631578947368421,0.3339428571428571,0.07159578142856846,0.19771428571428573,0.2562285714285714,0.344,0.344,0.384,0.3936,0.4,18.9088,7.5362218226376525,4.24,10.3552,19.528,22.464,23.56,24.275199999999998,24.752,
40.4617,90,459,520110,5,5G,24,12,0.5,19,10,0.5263157894736842,0.7127999999999999,0.09407741493047098,0.576,0.6048,0.636,0.696,0.8,0.8408,0.848,52.562400000000004,5.694317785301416,42.056,44.144,50.318,53.68000000000001,55.658,58.1944,62.176,
40.4617,90,700,125290,1,5G,24,2,0.08333333333333333,19,2,0.10526315789473684,0.41200000000000003,0.036000000000000004,0.376,0.3832,0.394,0.41200000000000003,0.43,0.4408,0.448,16.06,1.2359999999999998,14.824,15.0712,15.442,16.06,16.678,17.0488,17.296,
40.4617,90,721,520110,2,5G,24,0,0.0,19,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
40.4616,90,749,520110,3,5G,20,5,0.25,17,4,0.23529411764705882,0.418,0.020688160865577197,0.384,0.396,0.414,0.424,0.428,0.4352,0.44,24.954,0.4937165178520973,24.176,24.406399999999998,24.752,25.06,25.262,25.4168,25.52,
40.4616,90,317,520110,4,5G,20,5,0.25,17,3,0.17647058823529413,0.64,0.3100451580012176,0.224,0.3248,0.476,0.728,0.848,0.9199999999999999,0.968,34.81066666666667,19.766993993917122,6.896,15.011199999999999,27.184,47.472,48.768,49.5456,50.064,
