grid_lat,grid_height,nrcell_cid,nrcell_freq,cell_index,cell_type,total_avail_sample,avail_sample,avail_sample_ratio,total_thput_sample,thput_sample,thput_sample_ratio,thput_avg_dl,thput_std_dl,thput_0_dl,thput_10_dl,thput_25_dl,thput_50_dl,thput_75_dl,thput_90_dl,thput_100_dl,thput_avg_ul,thput_std_ul,thput_0_ul,thput_10_ul,thput_25_ul,thput_50_ul,thput_75_ul,thput_90_ul,thput_100_ul
40.4628,120,317,520110,4,5G,147,124,0.8435374149659864,141,119,0.8439716312056738,0.39240336134453796,0.16140841872641026,0.152,0.184,0.268,0.376,0.472,0.6096,0.84,22.299697478991593,11.498521283486863,1.232,10.5856,12.564,21.36,27.544,33.668800000000005,64.328,
40.4628,120,459,520110,5,5G,147,4,0.027210884353741496,141,4,0.028368794326241134,0.892,0.12655433615645098,0.736,0.7552,0.784,0.9,1.008,1.0224,1.032,48.852000000000004,13.741865375559462,34.04,34.6952,35.678,49.352,62.525999999999996,62.6088,62.664,
40.4628,120,749,520110,3,5G,147,19,0.1292517006802721,141,18,0.1276595744680851,0.7506666666666667,0.29832420842655955,0.232,0.4808,0.592,0.648,1.008,1.1327999999999998,1.344,41.59288888888889,12.20304395946123,8.44,30.381600000000006,41.066,43.312,48.41,50.9456,53.8,
40.4628,120,700,125290,1,5G,147,0,0.0,141,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
40.4628,120,721,520110,2,5G,147,0,0.0,141,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
40.4627,120,317,520110,4,5G,47,31,0.6595744680851063,46,31,0.6739130434782609,0.5860645161290322,0.25068653289148374,0.104,0.232,0.392,0.632,0.78,0.848,1.144,37.112,18.921088368068524,0.328,14.368,24.759999999999998,33.752,55.524,60.624,65.296,
40.4627,120,459,520110,5,5G,47,2,0.0425531914893617,46,2,0.043478260869565216,0.972,0.020000000000000018,0.952,0.956,0.962,0.972,0.982,0.988,0.992,63.763999999999996,2.2600000000000016,61.504,61.955999999999996,62.634,63.763999999999996,64.894,65.572,66.024,
40.4627,120,749,520110,3,5G,47,5,0.10638297872340426,46,5,0.10869565217391304,0.5760000000000001,0.12628855846829515,0.328,0.44,0.608,0.624,0.64,0.664,0.68,42.1472,15.524817066877146,11.6,25.424,46.16,47.856,50.768,52.9184,54.352,
40.4627,120,711,125290,1,5G,47,9,0.19148936170212766,46,8,0.17391304347826086,0.5740000000000001,0.22746428291052642,0.256,0.27280000000000004,0.41200000000000003,0.588,0.694,0.8896000000000001,0.912,34.855999999999995,18.921292133466995,17.176,17.7024,19.266,27.800000000000004,44.812,64.7968,65.76,
40.4627,120,721,520110,2,5G,47,0,0.0,46,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
40.4626,120,317,520110,4,5G,36,19,0.5277777777777778,36,19,0.5277777777777778,0.4993684210526316,0.2073076052953591,0.24,0.304,0.344,0.416,0.644,0.8271999999999999,0.928,30.45684210526316,11.760786767734627,9.08,18.616,21.976,31.992,37.944,44.2112,54.904,
40.4626,120,459,520110,5,5G,36,2,0.05555555555555555,36,2,0.05555555555555555,0.968,0.0,0.968,0.968,0.968,0.968,0.968,0.968,0.968,63.867999999999995,0.5239999999999974,63.344,63.4488,63.606,63.867999999999995,64.13,64.2872,64.392,
