grid_lon,grid_height,total_sample,total_sample_nr,nr_duration_ratio,total_sample_nr_low,nr_low_duration_ratio,total_sample_nr_mid,nr_mid_duration_ratio,nr_duration_ratio_plot
40.4615,120.0000,42.0000,41.0000,0.9762,7.0000,0.1667,34.0000,0.8095,1.4137
40.4616,0.0000,20.0000,18.0000,0.9000,17.0000,0.8500,1.0000,0.0500,1.0000
40.4616,30.0000,74.0000,74.0000,1.0000,0.0000,0.0000,74.0000,1.0000,1.7500
40.4616,60.0000,26.0000,26.0000,1.0000,2.0000,0.0769,24.0000,0.9231,1.7500
40.4616,90.0000,27.0000,27.0000,1.0000,3.0000,0.1111,24.0000,0.8889,1.7500
40.4616,120.0000,43.0000,43.0000,1.0000,7.0000,0.1628,36.0000,0.8372,1.7500
40.4617,0.0000,16.0000,14.0000,0.8750,14.0000,0.8750,0.0000,0.0000,0.9583
40.4617,30.0000,86.0000,86.0000,1.0000,0.0000,0.0000,86.0000,1.0000,1.7500
40.4617,60.0000,36.0000,36.0000,1.0000,7.0000,0.1944,29.0000,0.8056,1.7500
40.4617,90.0000,27.0000,27.0000,1.0000,2.0000,0.0741,25.0000,0.9259,1.7500
40.4617,120.0000,40.0000,40.0000,1.0000,9.0000,0.2250,31.0000,0.7750,1.7500
40.4618,0.0000,45.0000,44.0000,0.9778,42.0000,0.9333,2.0000,0.0444,1.4236
40.4618,30.0000,65.0000,65.0000,1.0000,0.0000,0.0000,65.0000,1.0000,1.7500
40.4618,60.0000,49.0000,49.0000,1.0000,8.0000,0.1633,41.0000,0.8367,1.7500
40.4618,90.0000,27.0000,27.0000,1.0000,2.0000,0.0741,25.0000,0.9259,1.7500
40.4618,120.0000,37.0000,37.0000,1.0000,6.0000,0.1622,31.0000,0.8378,1.7500
40.4619,0.0000,49.0000,47.0000,0.9592,46.0000,0.9388,1.0000,0.0204,1.3074
40.4619,30.0000,87.0000,87.0000,1.0000,1.0000,0.0115,86.0000,0.9885,1.7500
40.4619,60.0000,41.0000,41.0000,1.0000,4.0000,0.0976,37.0000,0.9024,1.7500
40.4619,90.0000,33.0000,32.0000,0.9697,3.0000,0.0909,29.0000,0.8788,1.3731
40.4619,120.0000,42.0000,42.0000,1.0000,9.0000,0.2143,33.0000,0.7857,1.7500
40.4620,0.0000,41.0000,39.0000,0.9512,38.0000,0.9268,1.0000,0.0244,1.2576
40.4620,30.0000,71.0000,71.0000,1.0000,3.0000,0.0423,68.0000,0.9577,1.7500
40.4620,60.0000,37.0000,37.0000,1.0000,3.0000,0.0811,34.0000,0.9189,1.7500
40.4620,90.0000,32.0000,32.0000,1.0000,2.0000,0.0625,30.0000,0.9375,1.7500
40.4620,120.0000,44.0000,44.0000,1.0000,11.0000,0.2500,33.0000,0.7500,1.7500
40.4621,0.0000,38.0000,36.0000,0.9474,35.0000,0.9211,1.0000,0.0263,1.2368
40.4621,30.0000,65.0000,65.0000,1.0000,2.0000,0.0308,63.0000,0.9692,1.7500
40.4621,60.0000,43.0000,43.0000,1.0000,3.0000,0.0698,40.0000,0.9302,1.7500
40.4621,90.0000,38.0000,38.0000,1.0000,2.0000,0.0526,36.0000,0.9474,1.7500
40.4621,120.0000,39.0000,39.0000,1.0000,8.0000,0.2051,31.0000,0.7949,1.7500
40.4622,0.0000,45.0000,43.0000,0.9556,42.0000,0.9333,1.0000,0.0222,1.2847
40.4622,30.0000,73.0000,73.0000,1.0000,2.0000,0.0274,71.0000,0.9726,1.7500
40.4622,60.0000,32.0000,32.0000,1.0000,9.0000,0.2812,23.0000,0.7188,1.7500
40.4622,90.0000,44.0000,43.0000,0.9773,3.0000,0.0682,40.0000,0.9091,1.4205
40.4622,120.0000,36.0000,36.0000,1.0000,8.0000,0.2222,28.0000,0.7778,1.7500
40.4623,0.0000,34.0000,32.0000,0.9412,31.0000,0.9118,1.0000,0.0294,1.2059
40.4623,30.0000,67.0000,67.0000,1.0000,3.0000,0.0448,64.0000,0.9552,1.7500
40.4623,60.0000,31.0000,31.0000,1.0000,6.0000,0.1935,25.0000,0.8065,1.7500
40.4623,90.0000,44.0000,44.0000,1.0000,2.0000,0.0455,42.0000,0.9545,1.7500
40.4623,120.0000,40.0000,40.0000,1.0000,8.0000,0.2000,32.0000,0.8000,1.7500
40.4624,0.0000,42.0000,40.0000,0.9524,39.0000,0.9286,1.0000,0.0238,1.2649
40.4624,30.0000,75.0000,75.0000,1.0000,3.0000,0.0400,72.0000,0.9600,1.7500
40.4624,60.0000,40.0000,40.0000,1.0000,6.0000,0.1500,34.0000,0.8500,1.7500
40.4624,90.0000,41.0000,41.0000,1.0000,2.0000,0.0488,39.0000,0.9512,1.7500
40.4624,120.0000,43.0000,43.0000,1.0000,8.0000,0.1860,35.0000,0.8140,1.7500
40.4625,0.0000,38.0000,36.0000,0.9474,35.0000,0.9211,1.0000,0.0263,1.2368
40.4625,30.0000,124.0000,124.0000,1.0000,6.0000,0.0484,118.0000,0.9516,1.7500
