height,sample_num,notok_rule1_cur_ratio,notok_rule1_new_ratio,notok_rule1_reduced_ratio,notok_rule2_cur_ratio,notok_rule2_new_ratio,notok_rule2_reduced_ratio,notok_rule3_cur_ratio,notok_rule3_new_ratio,notok_rule3_reduced_ratio,notok_rule4_cur_ratio,notok_rule4_new_ratio,notok_rule4_reduced_ratio,notok_rule1_cur_num,notok_rule1_new_num,notok_rule2_cur_num,notok_rule2_new_num,notok_rule3_cur_num,notok_rule3_new_num,notok_rule4_cur_num,notok_rule4_new_num
0,1005,0.3567164179104478,0.21393034825870647,0.14278606965174132,0.2582089552238806,0.15870646766169155,0.09950248756218905,0.14228855721393036,0.08009950248756219,0.06218905472636817,0.07164179104477612,0.04477611940298507,0.02686567164179105,717,430,519,319,286,161,72,45
60,318,0.5974842767295597,0.20125786163522014,0.3962264150943396,0.5345911949685535,0.16666666666666666,0.3679245283018868,0.4591194968553459,0.10377358490566038,0.35534591194968557,0.330188679245283,0.06918238993710692,0.2610062893081761,190,64,170,53,146,33,105,22
120,261,0.4482758620689655,0.23754789272030652,0.210727969348659,0.4061302681992337,0.21839080459770116,0.18773946360153254,0.367816091954023,0.1839080459770115,0.1839080459770115,0.2950191570881226,0.13793103448275862,0.15708812260536398,117,62,106,57,96,48,77,36
