grid_lon,height,thput_0,thput_1,thput_5,thput_10,thput_25,thput_50,thput_75,thput_90,thput_95,thput_99,thput_100,median,upper_bound,lower_bound,variation,under_utilization,rbs_mean,rbs_10,rbs_25,rbs_50,rbs_75,rbs_90
40.4608,120.0000,55.1360,55.1708,55.3100,55.4840,56.2940,58.6160,61.1840,62.2040,62.4420,62.6324,62.6800,58.6160,62.2040,55.4840,6.7200,3.5880,251.0000,251.0000,251.0000,251.0000,251.0000,251.0000
40.4609,120.0000,57.6960,57.8445,58.4384,59.1808,61.4080,63.1440,64.5520,68.9152,70.3696,71.5331,71.8240,63.1440,68.9152,59.1808,9.7344,5.7712,156.0000,11.4000,24.0000,251.0000,251.0000,251.0000
40.4610,120.0000,13.2000,15.7366,25.8828,38.5656,52.0520,56.8240,61.9540,64.6088,65.9444,67.0129,67.2800,56.8240,64.6088,38.5656,26.0432,7.7848,201.4000,3.0000,251.0000,251.0000,251.0000,251.0000
40.4611,120.0000,10.1600,11.3424,16.0720,21.9840,38.2640,60.2720,61.3480,63.2400,65.5560,67.4088,67.8720,60.2720,63.2400,21.9840,41.2560,2.9680,228.1818,248.0000,251.0000,251.0000,251.0000,251.0000
40.4612,120.0000,53.6480,53.6677,53.7464,53.8448,54.9280,57.0640,59.3280,62.4416,63.7808,64.8522,65.1200,57.0640,62.4416,53.8448,8.5968,5.3776,180.1429,3.0000,127.0000,251.0000,251.0000,251.0000
40.4613,120.0000,34.9600,35.1076,35.6980,36.4360,50.8880,55.5240,61.8400,62.6328,62.8524,63.0281,63.0720,55.5240,62.6328,36.4360,26.1968,7.1088,250.2000,250.2000,251.0000,251.0000,251.0000,251.0000
40.4614,120.0000,17.4160,18.7472,24.0720,30.7280,49.8640,53.7040,58.1760,63.0400,65.2640,67.0432,67.4880,53.7040,63.0400,30.7280,32.3120,9.3360,181.6667,3.0000,123.0000,251.0000,251.0000,251.0000
40.4615,120.0000,27.4320,27.6308,28.4260,29.4200,34.0480,49.4600,60.0840,62.9240,63.8220,64.5404,64.7200,49.4600,62.9240,29.4200,33.5040,13.4640,248.6667,245.5000,248.0000,249.5000,251.0000,251.0000
40.4616,120.0000,29.0160,30.3351,35.6116,41.0416,44.9920,57.3640,65.5580,67.6856,67.8156,67.8543,67.8640,57.3640,67.6856,41.0416,26.6440,10.3216,248.3333,243.5000,250.2500,251.0000,251.0000,251.0000
40.4617,120.0000,16.8880,19.1885,28.3904,39.8928,52.6320,55.9360,66.0940,67.7296,68.4688,69.0602,69.2080,55.9360,67.7296,39.8928,27.8368,11.7936,217.0000,161.9000,243.5000,251.0000,251.0000,251.0000
