grid_lon,height,thput_0,thput_1,thput_5,thput_10,thput_25,thput_50,thput_75,thput_90,thput_95,thput_99,thput_100,median,upper_bound,lower_bound,variation,under_utilization,rbs_mean,rbs_10,rbs_25,rbs_50,rbs_75,rbs_90
40.4616,90.0000,1.9320,3.8680,7.5810,9.1290,17.8020,32.0651,49.7820,60.3747,63.3221,69.6639,71.2629,32.0651,60.3747,9.1290,51.2457,28.3095,150.4211,17.0000,92.0000,177.5000,234.5000,245.0000
40.4617,90.0000,0.1209,1.5048,4.6694,12.1984,21.9790,41.6400,54.4400,63.6174,68.4968,70.5535,71.4766,41.6400,63.6174,12.1984,51.4190,21.9774,137.3333,3.0000,91.0000,160.0000,230.0000,239.0000
40.4618,90.0000,0.1422,0.1527,0.3058,14.3612,22.8040,43.4148,52.4680,59.8236,61.9800,66.1889,67.1900,43.4148,59.8236,14.3612,45.4624,16.4088,156.1944,8.5000,92.0000,192.0000,230.0000,247.5000
40.4619,90.0000,0.1040,0.1114,0.6648,5.8574,20.2836,43.7680,54.0120,60.0468,66.0413,71.9074,72.8400,43.7680,60.0468,5.8574,54.1894,16.2788,136.2273,3.0000,3.0000,125.5000,231.5000,242.0000
40.4620,90.0000,0.2760,0.3089,3.5560,7.5566,16.8040,24.9920,53.2960,63.4215,67.4308,71.4989,72.5480,24.9920,63.4215,7.5566,55.8649,38.4295,147.2683,3.0000,19.0000,92.0000,242.0000,253.0000
40.4621,90.0000,0.1510,0.2476,1.8999,8.6296,21.0960,26.0320,48.9280,61.0526,63.1712,66.2905,66.3660,26.0320,61.0526,8.6296,52.4230,35.0206,141.4510,3.0000,4.5000,92.0000,221.5000,250.0000
40.4622,90.0000,0.8640,1.5867,7.2217,15.7280,19.9040,27.0640,51.4480,61.0880,65.6720,70.5475,71.8937,27.0640,61.0880,15.7280,45.3600,34.0240,116.4727,3.0000,41.5000,92.0000,184.5000,243.8000
40.4623,90.0000,0.1220,0.6226,7.5217,12.5296,20.2520,25.5360,35.5200,52.7118,58.1920,68.7549,75.0171,25.5360,52.7118,12.5296,40.1822,27.1758,95.7925,3.0000,17.0000,76.0000,197.0000,240.0000
40.4624,90.0000,0.1070,0.1110,0.1507,2.7027,24.5500,29.0360,51.1720,64.5008,67.4356,73.4655,73.9310,29.0360,64.5008,2.7027,61.7981,35.4648,132.0000,3.0000,20.7500,92.0000,240.0000,252.7000
40.4625,90.0000,0.1230,0.4574,3.8144,8.4886,16.3380,25.7560,39.8640,57.0728,62.9396,69.4025,72.9160,25.7560,57.0728,8.4886,48.5842,31.3168,140.6444,3.0000,18.0000,160.0000,240.0000,253.0000
40.4626,90.0000,0.2217,0.2802,1.7352,5.6072,18.0000,25.6960,46.5255,61.6960,67.6539,73.4803,74.6230,25.6960,61.6960,5.6072,56.0888,36.0000,119.6545,3.0000,71.0000,92.0000,200.5000,240.0000
40.4627,90.0000,0.3371,0.5708,1.1635,9.2624,23.3500,31.7400,59.8573,69.8435,74.5365,79.6704,80.9200,31.7400,69.8435,9.2624,60.5811,38.1035,132.7910,3.0000,73.5000,92.0000,235.5000,253.0000
40.4628,90.0000,0.1160,0.2097,7.7141,10.7128,18.4040,27.9480,41.4080,56.7912,70.7357,75.7805,78.1040,27.9480,56.7912,10.7128,46.0784,28.8432,103.4805,3.0000,3.0000,92.0000,191.0000,218.8000
40.4629,90.0000,1.6480,2.7402,8.2048,9.7610,11.4262,28.1920,43.4320,48.1000,48.6080,51.3372,61.8320,28.1920,48.1000,9.7610,38.3390,19.9080,170.0069,3.0000,112.0000,207.0000,227.0000,230.0000
40.4630,90.0000,0.9200,1.7288,6.2011,8.7661,16.8040,28.7840,39.6020,46.8168,47.3516,54.8601,62.2080,28.7840,46.8168,8.7661,38.0507,18.0328,137.8718,3.0000,5.5000,186.0000,217.0000,230.6000
40.4631,90.0000,0.1463,0.3633,5.6485,7.3194,13.3600,25.4240,36.0760,43.0192,48.8576,59.2917,64.2560,25.4240,43.0192,7.3194,35.6998,17.5952,126.3889,3.0000,3.0000,168.0000,213.7500,230.0000
40.4632,90.0000,3.1620,3.6393,5.2421,8.4898,14.9228,26.3120,39.0060,44.9216,48.4068,51.8607,53.1920,26.3120,44.9216,8.4898,36.4318,18.6096,141.1250,3.0000,24.7500,161.0000,221.2500,233.6000
40.4633,90.0000,6.9520,7.0883,8.1271,9.3350,20.8920,28.7360,39.3240,47.2192,51.3748,56.2281,56.8560,28.7360,47.2192,9.3350,37.8842,18.4832,132.9302,3.0000,3.0000,171.0000,214.5000,235.6000
40.4634,90.0000,0.1314,0.1358,1.4024,3.7416,18.1700,28.4520,39.0180,45.2240,51.7648,57.7861,65.2720,28.4520,45.2240,3.7416,41.4824,16.7720,131.5102,3.0000,3.0000,150.0000,207.0000,237.6000
40.4635,90.0000,0.1040,0.1156,2.1540,6.4290,16.1760,26.3040,47.2760,58.8096,60.1720,61.7158,61.9200,26.3040,58.8096,6.4290,52.3806,32.5056,161.9111,3.0000,48.0000,205.0000,241.0000,245.0000
