grid_lon,height,thput_0,thput_1,thput_5,thput_10,thput_25,thput_50,thput_75,thput_90,thput_95,thput_99,thput_100,median,upper_bound,lower_bound,variation,under_utilization,rbs_mean,rbs_10,rbs_25,rbs_50,rbs_75,rbs_90
40.4608,120.0000,10.9920,11.1837,11.9504,12.9088,15.7840,18.3360,28.1840,32.1872,33.5216,34.5891,34.8560,18.3360,32.1872,12.9088,19.2784,13.8512,140.4000,3.0000,3.0000,228.0000,234.0000,234.0000
40.4609,120.0000,8.1680,8.3499,9.0776,9.9872,12.7160,20.3240,27.7620,30.1848,30.9924,31.6385,31.8000,20.3240,30.1848,9.9872,20.1976,9.8608,185.6667,49.2000,118.5000,234.0000,277.0000,302.8000
40.4610,120.0000,15.9520,15.9693,16.0384,16.1248,17.9680,26.0720,31.0960,31.9312,32.2096,32.4323,32.4880,26.0720,31.9312,16.1248,15.8064,5.8592,147.8571,12.0000,49.5000,228.0000,232.5000,236.4000
40.4611,120.0000,14.2160,14.2784,14.5280,14.8400,16.4920,17.9440,26.0920,28.3664,29.1032,29.6926,29.8400,17.9440,28.3664,14.8400,13.5264,10.4224,81.5000,3.0000,3.0000,3.0000,178.5000,238.5000
40.4612,120.0000,8.6720,9.3100,11.8620,14.6528,16.3160,17.4200,19.6100,26.2568,27.2948,27.6222,27.7040,17.4200,26.2568,14.6528,11.6040,8.8368,51.2500,3.0000,3.0000,3.0000,34.0000,221.8000
40.4613,120.0000,1.6320,1.8154,2.5488,3.4656,7.6400,12.7120,16.8360,18.9056,19.6808,20.3010,20.4560,12.7120,18.9056,3.4656,15.4400,6.1936,21.0000,3.0000,3.0000,3.0000,3.0000,53.4000
40.4614,120.0000,12.8480,12.9128,13.1720,13.4960,14.3880,15.5040,16.6480,18.4752,19.2336,19.8403,19.9920,15.5040,18.4752,13.4960,4.9792,2.9712,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000
40.4615,120.0000,10.9360,11.1645,12.0784,13.2208,14.4880,15.5880,16.6300,17.9752,18.1236,18.2423,18.2720,15.5880,17.9752,13.2208,4.7544,2.3872,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000
40.4616,120.0000,14.2080,14.2112,14.2240,14.2400,14.3540,15.2880,16.1860,17.0120,17.3900,17.6924,17.7680,15.2880,17.0120,14.2400,2.7720,1.7240,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000
40.4617,120.0000,11.6160,11.7280,12.1760,12.7360,14.3620,15.9080,16.9920,17.7960,18.0220,18.2028,18.2480,15.9080,17.7960,12.7360,5.0600,1.8880,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000
40.4618,120.0000,14.4640,14.4952,14.6200,14.7760,15.2400,15.9920,16.3400,17.0912,17.5976,18.0027,18.1040,15.9920,17.0912,14.7760,2.3152,1.0992,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000
40.4619,120.0000,6.6560,6.8262,7.5072,8.3584,11.4460,14.7640,16.0980,16.6584,16.9692,17.2178,17.2800,14.7640,16.6584,8.3584,8.3000,1.8944,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000
