grid_lon,height,thput_0,thput_1,thput_5,thput_10,thput_25,thput_50,thput_75,thput_90,thput_95,thput_99,thput_100,median,upper_bound,lower_bound,variation,under_utilization
40.4606,90.0000,0.2890,0.3914,9.6133,18.1184,34.2720,43.9840,50.4480,58.3952,63.2208,70.5277,78.0354,43.9840,58.3952,18.1184,40.2768,14.4112
40.4607,90.0000,2.2756,2.7280,3.6103,14.4565,34.2320,42.7360,55.4400,62.6245,63.8937,73.1858,73.4050,42.7360,62.6245,14.4565,48.1681,19.8885
40.4608,90.0000,0.1010,0.1186,7.1384,18.5880,34.6740,42.5480,56.0620,62.2632,65.4799,72.2844,72.3020,42.5480,62.2632,18.5880,43.6752,19.7152
40.4609,90.0000,0.6510,0.7892,1.3626,4.7480,31.1540,44.2840,52.4543,61.2976,65.6303,68.6589,69.8420,44.2840,61.2976,4.7480,56.5496,17.0136
40.4610,90.0000,0.3970,1.1259,4.9578,10.1335,23.8706,40.4480,51.6740,56.4280,58.7252,60.5793,60.6240,40.4480,56.4280,10.1335,46.2945,15.9800
40.4611,90.0000,2.7010,2.9050,4.2576,11.6048,21.4333,43.5920,51.5400,58.1040,61.3166,62.9756,63.8836,43.5920,58.1040,11.6048,46.4992,14.5120
40.4612,90.0000,2.7920,4.0112,6.1986,10.2993,16.2475,34.6640,51.1343,56.6384,59.7008,64.2283,65.1609,34.6640,56.6384,10.2993,46.3391,21.9744
40.4613,90.0000,0.3476,1.2605,2.5277,8.9788,17.9527,42.3840,54.1220,57.2096,61.2224,64.3930,65.4880,42.3840,57.2096,8.9788,48.2308,14.8256
40.4614,90.0000,2.4891,2.9752,5.6139,10.8637,19.5012,37.6520,54.3833,59.0504,65.0014,69.7108,72.5851,37.6520,59.0504,10.8637,48.1867,21.3984
40.4615,90.0000,2.3120,2.3369,3.0208,13.5826,29.7120,48.5720,56.1280,64.8771,68.9377,74.1061,77.4680,48.5720,64.8771,13.5826,51.2945,16.3051
40.4616,90.0000,1.9320,3.8680,7.5810,9.1290,17.8020,32.0651,49.7820,60.3747,63.3221,69.6639,71.2629,32.0651,60.3747,9.1290,51.2457,28.3095
40.4617,90.0000,0.1209,1.5048,4.6694,12.1984,21.9790,41.6400,54.4400,63.6174,68.4968,70.5535,71.4766,41.6400,63.6174,12.1984,51.4190,21.9774
40.4618,90.0000,0.1422,0.1527,0.3058,14.3612,22.8040,43.4148,52.4680,59.8236,61.9800,66.1889,67.1900,43.4148,59.8236,14.3612,45.4624,16.4088
40.4619,90.0000,0.1040,0.1114,0.6648,5.8574,20.2836,43.7680,54.0120,60.0468,66.0413,71.9074,72.8400,43.7680,60.0468,5.8574,54.1894,16.2788
