grid_lon,height,thput_0,thput_1,thput_5,thput_10,thput_25,thput_50,thput_75,thput_90,thput_95,thput_99,thput_100,median,upper_bound,lower_bound,variation,under_utilization,rbs_mean,rbs_10,rbs_25,rbs_50,rbs_75,rbs_90
40.4608,120.0000,1.9360,3.0049,5.8175,7.7040,17.7840,33.7040,43.5400,59.5120,60.6400,62.3944,62.6800,33.7040,59.5120,7.7040,51.8080,25.8080,171.8387,3.0000,92.0000,228.0000,241.5000,251.0000
40.4609,120.0000,6.4800,7.0370,11.6884,16.3032,29.8660,39.4320,56.4740,62.3760,63.6368,69.4242,71.8240,39.4320,62.3760,16.3032,46.0728,22.9440,173.4545,34.4000,92.0000,216.0000,237.0000,251.0000
40.4610,120.0000,13.2000,14.2458,16.2112,20.6432,27.6000,41.2000,54.3880,62.2576,64.4736,66.7662,67.2800,41.2000,62.2576,20.6432,41.6144,21.0576,168.0513,15.0000,92.0000,228.0000,240.0000,251.0000
40.4611,120.0000,0.7200,3.1973,10.0056,13.8712,25.3820,33.3840,55.3840,61.5416,62.7840,66.0655,67.8720,33.3840,61.5416,13.8712,47.6704,28.1576,172.1842,3.0000,92.0000,234.5000,251.0000,251.0000
40.4612,120.0000,8.1040,8.3312,12.1920,14.3280,17.3600,27.7040,46.0240,56.6080,58.0000,63.3344,65.1200,27.7040,56.6080,14.3280,42.2800,28.9040,124.6341,3.0000,3.0000,112.0000,235.0000,251.0000
40.4613,120.0000,1.6320,2.8238,9.5520,12.5000,26.5400,35.7800,53.2540,59.0224,62.2952,62.8817,63.0720,35.7800,59.0224,12.5000,46.5224,23.2424,153.0000,3.0000,92.0000,165.5000,251.0000,251.0000
40.4614,120.0000,12.8480,13.2692,14.8020,15.7992,27.5380,38.7080,50.7240,58.3384,60.7652,65.3196,67.4880,38.7080,58.3384,15.7992,42.5392,19.6304,149.7949,3.0000,90.5000,184.0000,240.0000,251.0000
40.4615,120.0000,1.5360,3.4344,11.2624,14.6048,18.2400,33.0000,48.3400,57.3584,60.8304,63.9069,64.7200,33.0000,57.3584,14.6048,42.7536,24.3584,128.7381,3.0000,58.5000,105.5000,222.5000,247.5000
40.4616,120.0000,1.6000,2.8625,14.2176,15.0128,24.8440,36.5920,50.7560,62.4264,66.6092,67.8262,67.8640,36.5920,62.4264,15.0128,47.4136,25.8344,148.0227,3.0000,78.5000,163.5000,244.2500,251.0000
40.4617,120.0000,3.0880,5.3952,11.6160,15.8800,25.3520,36.1600,53.4240,62.6000,65.7600,68.3632,69.2080,36.1600,62.6000,15.8800,46.7200,26.4400,125.4500,3.0000,52.0000,92.0000,233.2500,251.0000
40.4618,120.0000,4.8800,8.4261,14.9060,15.8432,22.1920,33.6440,50.1620,63.5264,66.7904,67.6780,67.7520,33.6440,63.5264,15.8432,47.6832,29.8824,140.1842,3.0000,3.0000,163.0000,240.0000,251.0000
40.4619,120.0000,1.3280,2.0605,6.6560,9.7168,19.9755,34.7440,51.4400,63.4432,65.5840,69.0222,71.3440,34.7440,63.4432,9.7168,53.7264,28.6992,123.7442,3.0000,12.0000,92.0000,243.5000,251.0000
40.4620,120.0000,1.0160,3.8918,8.9824,13.8352,19.8000,33.4880,50.0000,62.8384,65.9744,67.1414,67.4160,33.4880,62.8384,13.8352,49.0032,29.3504,149.1190,3.0000,92.0000,120.0000,240.0000,251.0000
