grid_lon,height,thput_0,thput_1,thput_5,thput_10,thput_25,thput_50,thput_75,thput_90,thput_95,thput_99,thput_100,median,upper_bound,lower_bound,variation,under_utilization
40.4604,30.0000,5.4720,7.1016,13.6200,21.7680,38.0860,39.3320,45.0180,48.4120,49.3580,50.1148,50.3040,39.3320,48.4120,21.7680,26.6440,9.0800
40.4605,30.0000,4.2000,4.4832,5.6160,6.2480,11.6480,12.9760,23.2400,40.7040,47.2080,48.6160,48.9680,12.9760,40.7040,6.2480,34.4560,27.7280
40.4606,30.0000,0.1120,0.1248,0.5120,1.6160,7.6800,14.4160,37.9440,63.4560,66.7600,72.9472,74.5920,14.4160,63.4560,1.6160,61.8400,49.0400
40.4607,30.0000,0.1040,0.2256,1.9360,6.0240,9.7840,16.1040,40.8880,44.4640,48.1920,54.8528,56.7280,16.1040,44.4640,6.0240,38.4400,28.3600
40.4608,30.0000,1.9440,3.7778,5.1592,7.7784,13.4420,23.8760,36.8060,42.5168,47.8196,61.8582,63.6160,23.8760,42.5168,7.7784,34.7384,18.6408
40.4609,30.0000,1.8160,1.8302,2.1544,4.6040,15.2820,22.5520,38.2040,46.8184,59.8504,67.9068,72.3200,22.5520,46.8184,4.6040,42.2144,24.2664
40.4610,30.0000,0.4880,0.5062,1.3016,8.3712,14.5840,24.4040,39.8260,47.2952,63.3204,70.0431,70.8320,24.4040,47.2952,8.3712,38.9240,22.8912
40.4611,30.0000,0.9360,1.8734,4.8364,12.0424,19.9160,32.2200,41.2880,54.7144,57.5296,67.3317,68.6320,32.2200,54.7144,12.0424,42.6720,22.4944
40.4612,30.0000,3.6560,4.8387,13.3428,19.8328,23.3140,31.8480,37.5340,47.0648,60.2672,65.2980,70.0720,31.8480,47.0648,19.8328,27.2320,15.2168
40.4613,30.0000,0.3200,1.9370,7.5504,20.3760,23.5160,33.4240,38.8400,42.9104,45.4152,47.0845,48.8800,33.4240,42.9104,20.3760,22.5344,9.4864
40.4614,30.0000,5.0000,10.8218,19.8188,21.5992,23.7400,35.7160,39.2120,42.7680,43.2328,45.4951,45.7440,35.7160,42.7680,21.5992,21.1688,7.0520
40.4615,30.0000,0.7600,2.4933,9.5460,14.0376,21.7180,34.3480,39.8600,43.2888,45.0340,49.1468,50.1680,34.3480,43.2888,14.0376,29.2512,8.9408
40.4616,30.0000,3.9520,4.6528,9.4648,18.7376,23.5140,37.5920,41.3240,44.4096,45.6048,47.5116,49.1760,37.5920,44.4096,18.7376,25.6720,6.8176
40.4617,30.0000,1.5440,2.9448,9.6940,17.6160,23.5700,35.0040,40.4740,44.3400,47.3280,51.3192,56.9360,35.0040,44.3400,17.6160,26.7240,9.3360
40.4618,30.0000,2.3600,3.8038,7.9136,16.9040,23.6960,35.8800,40.4320,43.7712,46.1312,50.9434,53.2320,35.8800,43.7712,16.9040,26.8672,7.8912
40.4619,30.0000,0.3200,1.6341,6.6608,18.7072,23.9440,38.0480,43.0280,47.0192,47.9184,56.6338,57.1360,38.0480,47.0192,18.7072,28.3120,8.9712
40.4620,30.0000,0.5680,0.6744,1.6160,6.4880,21.6080,34.0000,41.4800,44.1360,47.2800,64.6184,65.6320,34.0000,44.1360,6.4880,37.6480,10.1360
40.4621,30.0000,0.4160,0.8051,1.9728,15.7696,21.3520,30.5200,39.0880,44.6256,50.2352,62.4595,65.0400,30.5200,44.6256,15.7696,28.8560,14.1056
40.4622,30.0000,0.9040,1.1690,2.8976,15.0000,21.1040,37.3280,45.4960,47.7520,49.4784,54.9130,58.6800,37.3280,47.7520,15.0000,32.7520,10.4240
40.4623,30.0000,0.7440,0.9130,12.4024,16.4576,21.9840,37.3120,47.2120,52.9312,53.9976,62.2075,63.4800,37.3120,52.9312,16.4576,36.4736,15.6192
40.4624,30.0000,1.1840,2.0838,3.8248,10.5456,20.4680,27.8720,40.6480,49.3904,53.8176,57.5939,60.6960,27.8720,49.3904,10.5456,38.8448,21.5184
40.4625,30.0000,0.3200,0.8947,6.1400,11.9096,21.8060,36.1680,43.3220,47.2520,53.2932,59.3343,59.8160,36.1680,47.2520,11.9096,35.3424,11.0840
40.4626,30.0000,3.5120,4.3878,10.0112,14.2336,19.4200,33.0000,42.3080,53.1840,58.5504,63.3458,63.3600,33.0000,53.1840,14.2336,38.9504,20.1840
40.4627,30.0000,0.7600,4.4268,13.1848,16.6248,20.0680,30.4400,41.0860,45.6944,55.4496,63.2143,65.2720,30.4400,45.6944,16.6248,29.0696,15.2544
