grid_lon,height,thput_0,thput_1,thput_5,thput_10,thput_25,thput_50,thput_75,thput_90,thput_95,thput_99,thput_100,median,upper_bound,lower_bound,variation,under_utilization
40.4606,60.0000,0.1120,1.5444,12.0772,18.5040,27.6520,40.3560,53.0420,63.0240,68.7484,71.5308,71.9040,40.3560,63.0240,18.5040,44.5200,22.6680
40.4607,60.0000,1.2000,1.2512,5.9840,10.9360,19.3040,33.2640,50.4560,63.9120,66.4080,68.1424,68.1680,33.2640,63.9120,10.9360,52.9760,30.6480
40.4608,60.0000,0.7600,1.2936,6.6744,9.2000,20.7200,33.5840,61.6920,65.4784,68.4616,74.1058,74.2960,33.5840,65.4784,9.2000,56.2784,31.8944
40.4609,60.0000,0.6160,1.1690,7.2880,10.4160,25.8440,33.7040,55.4760,68.3952,70.5112,72.2317,72.7760,33.7040,68.3952,10.4160,57.9792,34.6912
40.4610,60.0000,0.1920,0.3583,1.6140,5.4104,14.1500,35.7080,54.7620,66.0744,69.8824,72.2488,73.4080,35.7080,66.0744,5.4104,60.6640,30.3664
40.4611,60.0000,3.9440,4.3393,6.9212,9.0896,18.3520,37.1640,51.6660,64.4856,68.9052,71.2704,73.3200,37.1640,64.4856,9.0896,55.3960,27.3216
40.4612,60.0000,0.2000,2.8602,8.6512,10.6144,14.5680,31.4320,47.9680,63.0656,66.8496,70.0058,72.2960,31.4320,63.0656,10.6144,52.4512,31.6336
40.4613,60.0000,0.6320,3.2202,11.6384,15.5712,25.7440,35.9840,53.8720,63.7568,67.6912,69.8800,69.8800,35.9840,63.7568,15.5712,48.1856,27.7728
40.4614,60.0000,1.5840,1.9240,2.8480,11.7920,28.0680,38.1840,55.6600,64.8800,66.8400,70.0040,71.8400,38.1840,64.8800,11.7920,53.0880,26.6960
40.4615,60.0000,0.7600,1.1709,3.2448,14.8464,31.7840,41.7840,57.8880,64.7888,66.2160,71.2618,75.4320,41.7840,64.7888,14.8464,49.9424,23.0048
40.4616,60.0000,9.2960,9.7609,14.4476,25.2288,36.6040,45.6040,57.7600,66.4360,67.1452,71.5883,72.5680,45.6040,66.4360,25.2288,41.2072,20.8320
40.4617,60.0000,2.8640,8.0250,14.0316,16.2000,28.7840,39.5160,51.0820,64.3856,72.6100,79.7386,83.9520,39.5160,64.3856,16.2000,48.1856,24.8696
40.4618,60.0000,0.1200,0.2531,7.9552,17.0608,31.5040,40.5760,55.4160,67.1728,68.9696,73.1363,74.4880,40.5760,67.1728,17.0608,50.1120,26.5968
40.4619,60.0000,6.3120,10.0886,19.5008,20.6976,32.4320,39.6080,61.7920,66.1200,69.3376,72.1958,73.2800,39.6080,66.1200,20.6976,45.4224,26.5120
40.4620,60.0000,2.5920,3.1346,6.8012,13.4000,22.1900,35.8800,52.3820,67.6696,69.0600,72.6862,74.6880,35.8800,67.6696,13.4000,54.2696,31.7896
40.4621,60.0000,5.5520,6.0930,8.4916,12.3776,19.7660,35.7840,54.5800,68.0920,70.5772,87.3720,88.2000,35.7840,68.0920,12.3776,55.7144,32.3080
40.4622,60.0000,0.8000,2.3030,8.0744,11.4624,16.2660,33.2480,49.2340,66.0576,68.3364,77.1358,88.4720,33.2480,66.0576,11.4624,54.5952,32.8096
40.4623,60.0000,3.8320,4.0800,9.3080,13.3760,24.7520,39.4000,59.4320,64.3600,69.7080,76.3520,79.1520,39.4000,64.3600,13.3760,50.9840,24.9600
