grid_lon,height,thput_0,thput_1,thput_5,thput_10,thput_25,thput_50,thput_75,thput_90,thput_95,thput_99,thput_100,median,upper_bound,lower_bound,variation,under_utilization
40.4604,0.0000,1.6000,3.6510,7.6016,10.1072,13.6240,17.6320,20.0680,22.0160,23.7680,31.1170,33.5440,17.6320,22.0160,10.1072,11.9088,4.3840
40.4605,0.0000,2.6000,2.7140,8.5200,10.2240,12.5100,17.0400,19.8560,23.8200,26.3480,28.7520,29.1360,17.0400,23.8200,10.2240,13.5960,6.7800
40.4606,0.0000,0.2800,1.8670,6.3940,8.8744,12.7900,16.4240,19.7040,21.5216,22.9256,24.3429,27.2480,16.4240,21.5216,8.8744,12.6472,5.0976
40.4607,0.0000,0.1040,1.8980,8.6960,9.6080,11.0240,16.3400,19.6860,25.1720,27.2200,29.5660,29.8480,16.3400,25.1720,9.6080,15.5640,8.8320
40.4608,0.0000,3.2080,3.9526,6.7320,8.9632,10.8640,14.2160,16.6960,20.1136,20.6744,24.3453,25.5600,14.2160,20.1136,8.9632,11.1504,5.8976
40.4609,0.0000,2.0560,2.5475,4.3184,5.8544,8.3280,12.6080,15.0560,16.4064,18.5024,20.1104,20.4560,12.6080,16.4064,5.8544,10.5520,3.7984
40.4610,0.0000,0.8000,1.5213,4.1700,5.8008,10.3780,13.2080,16.0260,17.6824,20.8388,23.7390,24.4400,13.2080,17.6824,5.8008,11.8816,4.4744
40.4611,0.0000,3.3040,3.3629,4.1012,7.4464,10.3800,13.1880,17.7340,20.0776,20.3556,22.8886,23.6320,13.1880,20.0776,7.4464,12.6312,6.8896
40.4612,0.0000,6.9040,7.1088,7.9280,8.2960,9.1520,15.9600,17.2560,19.2080,19.9040,21.3952,21.7680,15.9600,19.2080,8.2960,10.9120,3.2480
40.4613,0.0000,1.6000,2.5240,6.0328,6.7800,9.2620,10.7600,16.3400,19.2816,21.3384,21.8761,21.9920,10.7600,19.2816,6.7800,12.5016,8.5216
40.4614,0.0000,4.9440,5.0352,5.4000,6.0240,8.0480,10.8800,17.8160,19.9840,20.9840,22.9616,23.4560,10.8800,19.9840,6.0240,13.9600,9.1040
40.4615,0.0000,2.8640,3.2992,5.0400,5.2080,7.2160,11.5040,16.1360,16.4320,18.9200,20.3024,20.6480,11.5040,16.4320,5.2080,11.2240,4.9280
40.4616,0.0000,5.5360,5.6758,6.2352,6.7184,8.2220,13.3720,16.0480,16.6064,18.2688,19.6794,20.0320,13.3720,16.6064,6.7184,9.8880,3.2344
40.4617,0.0000,5.0880,5.1348,5.3220,5.9520,7.4560,9.2480,12.7120,15.9840,16.3880,16.4744,16.4960,9.2480,15.9840,5.9520,10.0320,6.7360
40.4618,0.0000,1.3040,1.3533,1.5168,1.8304,3.5920,5.6800,10.1280,12.2288,13.8208,14.4054,14.5920,5.6800,12.2288,1.8304,10.3984,6.5488
40.4619,0.0000,1.6720,1.8371,2.0496,2.1360,3.5840,5.6480,7.9280,12.4608,12.5984,14.3350,14.4080,5.6480,12.4608,2.1360,10.3248,6.8128
40.4620,0.0000,1.4160,1.5504,1.7680,2.3200,4.8080,5.6640,7.0000,12.6400,14.1280,15.2400,15.6400,5.6640,12.6400,2.3200,10.3200,6.9760
40.4621,0.0000,1.5680,1.5769,1.6192,1.8752,3.0620,5.5480,8.7160,11.2440,13.1264,21.8792,24.3360,5.5480,11.2440,1.8752,9.3688,5.6960
40.4622,0.0000,1.6480,1.7853,2.0432,2.4768,3.7040,5.7760,9.5840,12.7040,13.8176,21.5507,27.0560,5.7760,12.7040,2.4768,10.2272,6.9280
40.4623,0.0000,1.7120,1.9998,2.6568,2.7064,4.6880,6.2160,8.7760,9.8992,10.4112,11.9532,12.6000,6.2160,9.8992,2.7064,7.1928,3.6832
