grid_lon,height,thput_0,thput_1,thput_5,thput_10,thput_25,thput_50,thput_75,thput_90,thput_95,thput_99,thput_100,median,upper_bound,lower_bound,variation,under_utilization,rbs_mean,rbs_10,rbs_25,rbs_50,rbs_75,rbs_90
40.4616,90.0000,24.1760,24.1990,24.2912,24.4064,24.7520,25.0600,25.2620,25.4168,25.4684,25.5097,25.5200,25.0600,25.4168,24.4064,1.0104,0.3568,174.0000,149.5000,165.2500,177.5000,186.2500,195.7000
40.4617,90.0000,4.2400,4.8515,7.2976,10.3552,19.5280,22.4640,23.5600,24.2752,24.5136,24.7043,24.7520,22.4640,24.2752,10.3552,13.9200,1.8112,177.0000,165.1000,172.7500,179.5000,183.7500,186.9000
40.4618,90.0000,21.2640,21.3264,21.5760,21.8880,22.8240,24.4160,25.5920,25.7792,25.8416,25.8915,25.9040,24.4160,25.7792,21.8880,3.8912,1.3632,198.5000,187.1000,190.2500,198.5000,206.7500,209.9000
40.4619,90.0000,11.7040,12.0450,13.4092,15.1144,20.2300,23.6160,24.9480,26.3664,26.8392,27.2174,27.3120,23.6160,26.3664,15.1144,11.2520,2.7504,108.7500,23.7000,54.7500,116.0000,170.0000,188.0000
40.4620,90.0000,17.3360,17.5549,18.4304,19.5248,22.8080,24.8120,25.5320,26.5040,26.8280,27.0872,27.1520,24.8120,26.5040,19.5248,6.9792,1.6920,187.5000,168.4000,181.0000,194.0000,200.5000,201.4000
40.4621,90.0000,3.8240,5.8966,14.1872,21.6432,24.1280,26.0320,27.3840,32.6624,34.4864,36.5677,37.0880,26.0320,32.6624,21.6432,11.0192,6.6304,128.9231,3.6000,62.0000,171.0000,197.0000,199.8000
40.4622,90.0000,15.2320,15.8394,18.2688,21.2936,26.6040,27.2200,31.6440,35.5136,38.5896,40.9275,41.5120,27.2200,35.5136,21.2936,14.2200,8.2936,139.0000,78.3000,102.5000,150.5000,176.2500,182.1000
40.4623,90.0000,9.2960,10.5271,15.4516,20.5360,22.3480,25.8280,31.2540,31.9680,34.1864,36.3477,36.8880,25.8280,31.9680,20.5360,11.4320,6.1400,114.0000,35.7000,51.7500,86.0000,178.2500,205.1000
40.4624,90.0000,9.4150,9.8672,11.6762,13.9375,24.7220,28.1720,30.8360,31.2640,31.4440,31.5880,31.6240,28.1720,31.2640,13.9375,17.3265,3.0920,132.2222,44.6000,70.0000,176.0000,203.0000,208.0000
40.4625,90.0000,25.0560,25.0842,25.1968,25.3376,27.2800,27.9120,32.1440,35.9856,36.5808,37.0570,37.1760,27.9120,35.9856,25.3376,10.6480,8.0736,178.4444,143.0000,160.0000,186.0000,199.0000,209.6000
40.4626,90.0000,8.0400,9.4771,15.2256,22.4112,25.0580,26.0280,30.7700,32.4536,34.4588,36.0630,36.4640,26.0280,32.4536,22.4112,10.0424,6.4256,155.9000,9.3000,163.2500,192.5000,201.2500,208.1000
40.4627,90.0000,3.5280,5.5174,13.4748,23.4216,27.1240,27.8880,28.6460,31.5112,33.0556,34.2911,34.6000,27.8880,31.5112,23.4216,8.0896,3.6232,153.7000,96.5000,146.0000,183.0000,187.2500,190.7000
40.4628,90.0000,0.9440,3.9132,10.4325,12.9155,18.8240,23.6320,37.5220,41.4920,43.1440,46.5824,47.8000,23.6320,41.4920,12.9155,28.5765,17.8600,97.7681,3.0000,3.0000,98.0000,188.5000,204.4000
