height,total_num,good_num,good_ratio,poor_num,poor_ratio,config_num,config_ratio,report_num,report_ratio,decision_num,decision_ratio
0,316,224,70.88607595,92,29.11392405,30,32.60869565,6,6.52173913,56,60.86956522
30,97,40,41.2371134,57,58.7628866,38,66.66666667,1,1.754385965,18,31.57894737
60,83,26,31.3253012,57,68.6746988,23,40.35087719,3,5.263157895,31,54.38596491
90,98,20,20.40816327,78,79.59183673,28,35.8974359,2,2.564102564,48,61.53846154
120,48,15,31.25,33,68.75,7,21.21212121,0,0,26,78.78787879
