index,loc,lat,lon,cell_num,max_rsrp_10,max_rsrp_25,max_rsrp_50,min_rsrp_10,min_rsrp_25,min_rsrp_50,rsrp_10_gap,rsrp_25_gap,rsrp_50_gap,prob_predicted_s1e1,prob_predicted_s1e2,prob_predicted_s1e3,prob_predicted_overall,prob_predict_min_margin,prob_predict_max_margin,run_with_onoff_ratio,prediction_error
32,TP23,40.42426,-86.92754,2,-109.43,-107.4925,-105.11,-123.304,-114.54,-110.38,13.874,7.0475,5.27,0.365386199,0.11713137,0.290087074,0.602249548,0.352249548,0.852249548,0,0.602249548
33,TP46,40.39297,-86.85149,2,-107.19,-104.79,-102.84,-109.42,-107.42,-105.5,2.23,2.63,2.66,0.098828503,0.02455485,0.547269775,0.602030499,0.352030499,0.852030499,0.666666667,0.064636168
34,TP2,40.43142,-86.91622,2,-92.77,-89.49,-85.98,-133.37,-120.68,-100.03,60.6,31.19,14.05,0.560072248,0,0.022583839,0.570007505,0.320007505,0.820007505,0.5,0.070007505
35,TP22,40.42527,-86.92859,3,-107.45,-105.88,-103.71,-120.511,-112.68,-108.26,5.97,5.47,5.11,0.311530465,0.076758129,0.302005581,0.556338064,0.306338064,0.806338064,0.2,0.356338064
36,TP21,40.42058,-86.92278,2,-97.983,-89.35,-87.31,-106.13,-96.87,-91.83,8.147,7.52,4.52,0.036416028,0,0.349792835,0.373470798,0.123470798,0.623470798,0.1,0.273470798
37,TP29,40.42472,-86.90969,1,-106.45,-101.55,-96.33,-106.45,-101.55,-96.33,,,,0.042456455,0,0,0.042456455,0,0.292456455,0,0.042456455
38,TP41,40.41851,-86.85746,1,-83.68,-78,-71.38,-83.68,-78,-71.38,,,,0,0,0,0,0,0.25,0.5,0.5
39,TP39,40.42677,-86.87752,1,-95.95,-90.63,-84.56,-95.95,-90.63,-84.56,,,,0,0,0,0,0,0.25,0.333333333,0.333333333
40,TP30,40.42032,-86.91007,1,-81.76,-76.93,-70.8,-81.76,-76.93,-70.8,,,,0,0,0,0,0,0.25,0.3,0.3
41,TP9,40.42658,-86.912,1,-83.02,-80.82,-78.88,-83.02,-80.82,-78.88,,,,0,0,0,0,0,0.25,0,0
42,TP10,40.42594,-86.91376,1,-79.75,-77.9,-75.74,-79.75,-77.9,-75.74,,,,0,0,0,0,0,0.25,0,0
43,TP14,40.42403,-86.91925,1,-85.23,-82.62,-79.91,-85.23,-82.62,-79.91,,,,0,0,0,0,0,0.25,0,0
44,TP20,40.42395,-86.92268,1,-97.003,-92.55,-86.32,-97.003,-92.55,-86.32,,,,0,0,0,0,0,0.25,0,0
45,TP32,40.46036,-86.91658,1,-101.63,-99.9,-97.73,-101.63,-99.9,-97.73,,,,0,0,0,0,0,0.25,0,0
46,TP44,40.40397,-86.86613,1,-101.165,-100.37,-99.47,-101.165,-100.37,-99.47,,,,0,0,0,0,0,0.25,0,0
