parent_grid_lat,parent_grid_lon,parent_lat_index,parent_lon_index,sub_grid_lat,sub_grid_lon,sub_lat_index,sub_lon_index,lat_index,lon_index,rsrp_50_273_387410,rsrp_50_371_387410,rsrp_50_gap_273_371_387410,rsrp_50_gap_target_other_pcells,target_pcell_usage,target_scell_usage
40.42725,-86.92085,2,1,40.42745,-86.92085,4,2,2.8,1.4,-91.51916667,-85.64833333,5.870833333,16.00583333,1,1
40.42725,-86.92085,2,1,40.42745,-86.92075,4,3,2.8,1.6,-91.141,-85.576,5.565,15.057,1,1
40.42725,-86.92085,2,1,40.42745,-86.92065,4,4,2.8,1.8,-91.77,-85.66375,6.10625,15.8625,1,1
40.42825,-86.92085,3,1,40.42805,-86.92105,0,0,3,1,-95.41,-84.7075,10.7025,8.6675,1,1
40.42825,-86.92085,3,1,40.42815,-86.92105,1,0,3.2,1,-99.61166667,-92.52916667,7.0825,3.660833333,1,1
40.42825,-86.92085,3,1,40.42815,-86.92095,1,1,3.2,1.2,-99.515,-90.14,9.375,2.775,1,1
40.42825,-86.92085,3,1,40.42815,-86.92085,1,2,3.2,1.4,-93.34666667,-83.27333333,10.07333333,7.25,1,1
40.42825,-86.92085,3,1,40.42815,-86.92075,1,3,3.2,1.6,-97.56833333,-84.84625,11.76333333,7.83375,0.526315789,0.5
40.42825,-86.92085,3,1,40.42815,-86.92065,1,4,3.2,1.8,-102.1083333,-87.37875,12.92666667,4.87375,0.276315789,0.25
40.42825,-86.92085,3,1,40.42825,-86.92105,2,0,3.4,1,-101.7125,-96.44,5.2725,1.1575,1,1
40.42825,-86.92085,3,1,40.42825,-86.92095,2,1,3.4,1.2,-99.515,-90.14,9.375,2.775,1,1
40.42825,-86.92085,3,1,40.42825,-86.92085,2,2,3.4,1.4,-93.34666667,-83.27333333,10.07333333,7.25,1,1
40.42825,-86.92085,3,1,40.42825,-86.92075,2,3,3.4,1.6,-97.56833333,-84.84625,11.76333333,7.83375,0.526315789,0.5
40.42825,-86.92085,3,1,40.42825,-86.92065,2,4,3.4,1.8,-102.1083333,-87.37875,12.92666667,4.87375,0.276315789,0.25
40.42875,-86.92085,4,2,40.42865,-86.92105,1,0,4.2,2,-98.955,-98.165,0.79,0.52,1,1
40.42875,-86.92085,4,2,40.42865,-86.92095,1,1,4.2,2.2,-98.955,-98.165,0.79,0.52,1,1
40.42875,-86.92085,4,2,40.42865,-86.92085,1,2,4.2,2.4,-104.41,-102.54,1.87,-1.25,1,1
40.42875,-86.92085,4,2,40.42865,-86.92075,1,3,4.2,2.6,-103.9525,-102.8625,1.09,-1.4175,1,1
40.42875,-86.92085,4,2,40.42865,-86.92065,1,4,4.2,2.8,-100.3975,-97.9575,2.44,-4.6825,1,1
