index,location,lat,lon,run_num,run_with_onoff_num,run_with_onoff_ratio,duration,rsrp_25_gap,rsrp_50_gap,rsrp_75_gap,prob_predicted,gap,prob_predict_max_margin,prob_predict_min_margin
1,TP1,40.43045,-86.91326,6,5,0.833333333,2094.6,0.46,0.1,1.22,0.971208448,0.137875115,1,0.721208448
2,TP43,40.41,-86.85699,5,5,1,992.9,0.1,0.1,0.935,0.971208448,0.028791552,1,0.721208448
3,TP34,40.45503,-86.91593,7,6,0.857142857,1262.5,1.41,0.14,0.915,0.959902307,0.10275945,1,0.709902307
4,TP16,40.42041,-86.91353,5,5,1,754.1,0.43,0.17,1.0825,0.951500589,0.048499411,1,0.701500589
5,TP15,40.42158,-86.91387,4,4,1,2700.5,0.86,0.36,0.255,0.899808939,0.100191061,1,0.649808939
6,TP40,40.42093,-86.87853,6,4,0.666666667,1165.5,0.24,0.405,0.67,0.887942629,0.221275962,1,0.637942629
7,TP3,40.43094,-86.9217,11,9,0.818181818,2939.4,0.82,0.57,1.67,0.845628074,0.027446256,1,0.595628074
8,TP7,40.42829,-86.91915,10,10,1,1757.2,0.65,0.66,0.49,0.823320556,0.176679444,1,0.573320556
9,TP37,40.4322,-86.86529,5,2,0.4,1201.2,2.775,0.75,0.48,0.801544063,0.401544063,1,0.551544063
10,TP8,40.42754,-86.92185,14,3,0.214285714,2170.3,1.16,1.03,0.72,0.73706937,0.522783656,0.98706937,0.48706937
11,TP11,40.42618,-86.91554,10,5,0.5,2340.5,2.23,1.05,0.36,0.732647851,0.232647851,0.982647851,0.482647851
12,TP25,40.42098,-86.92562,7,2,0.285714286,1931,3.97,1.055,1.19,0.731546208,0.445831922,0.981546208,0.481546208
13,TP35,40.453,-86.92276,6,3,0.5,1232,2.275,1.13,1.09,0.715199488,0.215199488,0.965199488,0.465199488
14,TP36,40.43253,-86.87622,5,2,0.4,1026.9,1.13,1.27,0.1075,0.68556259,0.28556259,0.93556259,0.43556259
15,TP45,40.39525,-86.87207,5,3,0.6,921.7,0.9925,2.05,2.68,0.539752823,0.060247177,0.789752823,0.289752823
16,TP19,40.42544,-86.92426,10,4,0.4,1709,5.06,2.49,2.52,0.470432315,0.070432315,0.720432315,0.220432315
17,TP28,40.42754,-86.9074,5,1,0.2,927.9,0.96,2.59,3.3375,0.455841918,0.255841918,0.705841918,0.205841918
18,TP46,40.39297,-86.85149,6,4,0.666666667,1105.8,2.63,2.66,2.54,0.445872332,0.220794335,0.695872332,0.195872332
19,TP12,40.42389,-86.91379,9,4,0.444444444,2850.1,7.96,2.915,1.3725,0.411192123,0.033252321,0.661192123,0.161192123
20,TP4,40.43165,-86.92683,10,3,0.3,2761,4.7,4.235,4.42,0.267493942,0.032506058,0.517493942,0.017493942
21,TP6,40.42744,-86.91726,30,23,0.766666667,9789.9,4.88,4.32,3.93,0.260021918,0.506644749,0.510021918,0.010021918
22,TP38,40.42967,-86.86895,7,5,0.714285714,1505.2,4,4.36,4.12,0.256571114,0.4577146,0.506571114,0.006571114
23,TP5,40.42852,-86.91488,6,2,0.33333333,1591.3,6.9525,4.825,4.25,0.219372477,0.113960853,0.469372477,0
24,TP24,40.42306,-86.92609,9,2,0.222222222,2422.7,8.19,5.85,6.32,0.153943184,0.068279038,0.403943184,0
25,TP42,40.40911,-86.87659,5,1,0.2,1090.4,18.79,9.47,9.9225,0.039432972,0.160567028,0.289432972,0
26,TP13,40.42424,-86.91661,5,2,0.4,1096,33.945,11.675,6.7,0.015546656,0.384453344,0.265546656,0
27,TP27,40.43183,-86.91051,15,1,0.066666667,3560.1,13.97,11.7,10.89,0.015375571,0.051291096,0.265375571,0
28,TP2,40.43142,-86.91622,5,0,0,777.4,31.19,14.05,13.89,0.005123311,0.005123311,0.255123311,0
29,TP17,40.4215,-86.91617,19,3,0.157894737,3372.9,55.07,28.18,25.73,3.18E-08,0.157894705,0.250000032,0
30,TP10,40.42594,-86.91376,1,0,0,30.9,,,,0,0,0.25,0
31,TP14,40.42403,-86.91925,0,0,0,0,,,,0,0,0.25,0
32,TP18,40.4211,-86.91815,10,0,0,3195.8,58.1125,40,23.4175,0,0,0.25,0
33,TP20,40.42395,-86.92268,5,0,0,1538.7,,,,0,0,0.25,0
34,TP21,40.42058,-86.92278,9,0,0,2981,,,,0,0,0.25,0
35,TP22,40.42527,-86.92859,5,0,0,612.7,,,,0,0,0.25,0
36,TP23,40.42426,-86.92754,5,0,0,1607.3,,,,0,0,0.25,0
37,TP26,40.4352,-86.90562,5,1,0.2,790.2,,,,0,0.2,0.25,0
38,TP29,40.42472,-86.90969,5,0,0,1609.1,,,,0,0,0.25,0
39,TP30,40.42032,-86.91007,10,1,0.1,3159.1,,,,0,0.1,0.25,0
40,TP31,40.46038,-86.92799,3,0,0,379.7,,,,0,0,0.25,0
41,TP32,40.46036,-86.91658,2,0,0,229.9,,,,0,0,0.25,0
42,TP33,40.45935,-86.90296,7,1,0.142857143,1117.4,,,,0,0.142857143,0.25,0
43,TP39,40.42677,-86.87752,6,1,0.166666667,1493.1,,,,0,0.166666667,0.25,0
44,TP41,40.41851,-86.85746,2,0,0,492.2,,,,0,0,0.25,0
45,TP44,40.40397,-86.86613,5,0,0,993.9,,,,0,0,0.25,0
46,TP9,40.42658,-86.912,0,0,0,0,,,,0,0,0.25,0
