rsrp_50_gap_target_other_pcells,predicted_target_scell_usage
-16.759799599198395,9.350687363071135e-06
-16.613547094188373,1.0344974807297679e-05
-16.46729458917835,1.1444986693873254e-05
-16.321042084168333,1.2661964629345022e-05
-16.174789579158315,1.4008345471779228e-05
-16.028537074148293,1.549788840097635e-05
-15.882284569138273,1.7145815494797544e-05
-15.736032064128253,1.8968967246465968e-05
-15.589779559118233,2.0985974609989914e-05
-15.443527054108213,2.3217449329267907e-05
-15.297274549098193,2.5686194492676018e-05
-15.151022044088172,2.8417437460884526e-05
-15.004769539078152,3.14390875433778e-05
-14.858517034068132,3.478202105094695e-05
-14.712264529058112,3.848039662981639e-05
-14.566012024048092,4.2572004090840905e-05
-14.419759519038074,4.709865028744441e-05
-14.273507014028054,5.210658597205758e-05
-14.127254509018034,5.764697797648697e-05
-13.981002004008014,6.37764315210343e-05
-13.834749498997994,7.055756796481829e-05
-13.688496993987973,7.805966387062932e-05
-13.542244488977953,8.635935787726785e-05
-13.395991983967933,9.554143255672363e-05
-13.249739478957913,0.00010569967918939067
-13.103486973947893,0.00011693785422507415
-12.957234468937873,0.000129370737118837
-12.810981963927853,0.00014312530024752297
-12.664729458917833,0.00015834200273468976
-12.518476953907813,0.00017517622124918784
-12.372224448897793,0.00019379983220720284
-12.225971943887771,0.00021440296131174335
-12.079719438877753,0.0002371959180209144
-11.93346693386773,0.0002624113343616691
-11.787214428857713,0.00029030652951505045
-11.64096192384769,0.0003211661238096456
-11.494709418837672,0.0003553049281905705
-11.34845691382765,0.0003930711379020326
-11.202204408817632,0.0004348498620535693
-11.05595190380761,0.00048106702395646995
-10.909699398797592,0.0005321936706415116
-10.76344689378757,0.0005887507338275936
-10.617194388777552,0.0006513142888291719
-10.47094188376753,0.0007205213624961495
-10.324689378757512,0.0007970763463002774
-10.17843687374749,0.000881758076145181
-10.032184368737472,0.0009754276464094046
-9.88593186372745,0.0010790370321591073
-9.739679358717432,0.0011936386004117335
-9.593426853707413,0.001320395598813196
-9.447174348697391,0.0014605937181214718
-9.300921843687373,0.0016156538334741533
-9.154669338677351,0.0017871460385502004
-9.008416833667333,0.001976805096396275
-8.862164328657311,0.0021865474408365943
-8.715911823647293,0.002418489872958074
-8.569659318637271,0.0026749701080660145
-8.423406813627253,0.0029585693396054747
-8.27715430861723,0.003272136997659355
-8.130901803607212,0.0036188178905221763
-7.984649298597191,0.004002081928194177
-7.838396793587172,0.004425756636033604
-7.6921442885771505,0.004894062674729474
-7.545891783567132,0.005411652588557079
-7.39963927855711,0.005983653006741013
-7.253386773547092,0.006615710521665146
-7.10713426853707,0.007314041461399705
-6.960881763527052,0.008085485761052372
-6.81462925851703,0.00893756511597189
-6.668376753507012,0.00987854556764839
-6.52212424849699,0.010917504627663402
-6.375871743486972,0.012064402983165563
-6.22961923847695,0.013330160745496806
-6.0833667334669315,0.01472673809760039
-5.93711422845691,0.016267220060959046
-5.790861723446891,0.017965904933664407
-5.6446092184368695,0.0198383957418707
-5.498356713426851,0.02190169379086942
-5.352104208416829,0.024174293092521622
-5.205851703406811,0.026676274075840622
-5.059599198396789,0.02942939455042637
-4.913346693386771,0.0324571753822601
-4.767094188376749,0.03578497775365219
-4.620841683366731,0.039440068211945324
-4.474589178356709,0.04345166696677457
-4.328336673346691,0.047850974080513066
-4.182084168336669,0.05267116732564857
-4.03583166332665,0.05794736458057802
-3.8895791583166286,0.06371654273838695
-3.7433266533066103,0.07001740426337462
-3.5970741482965884,0.07689018181704847
-3.45082164328657,0.08437637087873665
-3.3045691382765483,0.09251838011703155
-3.15831663326653,0.10135908955917138
-3.012064128256508,0.11094130750665633
-2.86581162324649,0.12130711881904975
-2.719559118236468,0.13249711979705656
-2.5733066132264497,0.14454953858776495
-2.427054108216428,0.15749924491838418
-2.2808016032064096,0.17137665908221292
-2.1345490981963877,0.18620657739516366
-1.9882965931863694,0.20200693962282476
-1.8420440881763476,0.21878757279304528
-1.6957915831663293,0.23654895481935004
-1.5495390781563074,0.2552810497419917
-1.4032865731462891,0.2749622732599267
-1.2570340681362673,0.29555865158854283
-1.110781563126249,0.3170232375349975
-0.9645290581162271,0.33929584415456276
-0.8182765531062088,0.3623031478241187
-0.672024048096187,0.3859591988487109
-0.5257715430861687,0.4101663591529903
-0.3795190380761504,0.43481666416211545
-0.23326653306612855,0.4597935812023135
-0.08701402805611025,0.48497411168657284
0.0592384769539116,0.5102311613017231
0.2054909819639299,0.5354360836709329
0.35174348697395175,0.5604612904952138
0.49799599198397004,0.5851828163307117
0.6442484969939919,0.6094827294699812
0.7905010020040102,0.633251291499249
0.936753507014032,0.6563887857908615
1.0830060120240503,0.6788069575919402
1.2292585170340722,0.7004300332334489
1.3755110220440905,0.7211953109816691
1.5217635270541123,0.7410533390799156
1.6680160320641306,0.7599677159226791
1.8142685370741525,0.7779145619896217
1.9605210420841708,0.7948817226804337
2.1067735470941926,0.8108677656330325
2.253026052104211,0.8258808360216284
2.3992785571142328,0.8399374295600314
2.545531062124251,0.8530611364668093
2.691783567134273,0.8652814014828231
2.838036072144291,0.8766323360795514
2.984288577154313,0.8871516100163748
3.1305410821643314,0.8968794409703827
3.276793587174353,0.9058576934610096
3.4230460921843715,0.9141290919428411
3.5692985971943934,0.9217365478228654
3.7155511022044116,0.928722596247086
3.86180360721443,0.9351289356971847
4.008056112224455,0.9409960615989059
4.154308617234474,0.9463629841086423
4.300561122244492,0.9512670198499379
4.44681362725451,0.9557436474640206
4.593066132264536,0.9598264172820358
4.739318637274554,0.9635469061061263
4.885571142284572,0.9669347089081805
5.0318236472945905,0.9700174601456258
5.178076152304616,0.9728208782981468
5.324328657314634,0.9753688281082482
5.4705811623246525,0.9776833958357423
5.616833667334671,0.9797849735951365
5.763086172344696,0.9816923495271302
5.9093386773547145,0.9834228011581769
6.055591182364733,0.9849921898267009
6.201843687374751,0.9864150545051131
6.3480961923847765,0.987704703728969
6.494348697394795,0.9888733046650461
6.640601202404813,0.9899319686157729
6.786853707414831,0.9908908324751332
6.933106212424857,0.9917591358274757
7.079358717434875,0.9925452935216308
7.225611222444893,0.9932569636638126
7.371863727454912,0.9939011110589021
7.518116232464937,0.9944840661950699
7.664368737474955,0.9950115799150547
7.810621242484974,0.9954888739519148
7.956873747494992,0.9959206875303903
8.103126252505017,0.9963113202494567
8.249378757515036,0.996664671469053
8.395631262525054,0.996984276425949
8.541883767535072,0.9972733393015019
8.688136272545098,0.9975347634587602
8.834388777555116,0.997771179058786
8.980641282565134,0.9979849682569075
9.126893787575153,0.998178288169425
9.27314629258517,0.9983530917904714
9.419398797595196,0.9985111470276383
9.565651302605215,0.9986540540138632
9.711903807615233,0.9987832608421162
9.858156312625251,0.9989000778587825
10.004408817635277,0.9990056906414064
10.150661322645295,0.9991011717766957
10.296913827655313,0.9991874915454628
10.443166332665331,0.9992655276124784
10.589418837675357,0.9993360738110868
10.735671342685375,0.9993998481048398
10.881923847695393,0.9994574998013671
11.028176352705412,0.9995096160871715
11.174428857715437,0.9995567279460192
11.320681362725455,0.9995993155180386
11.466933867735474,0.999637812951544
11.613186372745492,0.9996726127949164
11.759438877755517,0.9997040699715805
11.905691382765536,0.9997325053772
12.051943887775554,0.9997582091346199
12.198196392785572,0.9997814435388113
12.344448897795598,0.9998024457211021
12.490701402805616,0.9998214300592366
12.636953907815634,0.9998385903573549
12.783206412825653,0.9998541018177177
12.929458917835678,0.9998681228239592
13.075711422845696,0.9998807965537952
13.221963927855715,0.9998922524374225
13.368216432865733,0.9999026074763107
13.514468937875758,0.9999119674357061
13.660721442885777,0.9999204279228969
13.806973947895795,0.9999280753621518
13.953226452905813,0.9999349878762063
14.099478957915839,0.999941236083232
14.245731462925857,0.9999468838173774
14.391983967935875,0.999951988780189
14.538236472945893,0.9999566031295377
14.684488977955919,0.9999607740120311
14.830741482965937,0.9999645440443307
14.976993987975955,0.9999679517482668
15.123246492985974,0.9999710319441865
15.269498997996,0.999973816106533
15.415751503006017,0.9999763326852849
15.562004008016036,0.9999786073965262
15.708256513026054,0.9999806634851127
15.85450901803608,0.9999825219621092
16.000761523046098,0.9999842018194217
16.147014028056116,0.9999857202238118
16.293266533066134,0.9999870926922747
16.43951903807616,0.9999883332505677
16.585771543086178,0.9999894545765092
16.732024048096196,0.9999904681295112
16.878276553106215,0.9999913842676642
17.02452905811624,0.9999922123535738
17.17078156312626,0.9999929608500279
17.317034068136277,0.9999936374064701
17.463286573146295,0.9999942489371647
17.60953907815632,0.9999948016918517
17.75579158316634,0.9999953013196097
17.902044088176357,0.9999957529265827
18.048296593186375,0.9999961611281617
18.1945490981964,0.9999965300961472
18.34080160320642,0.9999968636013841
18.487054108216437,0.9999971650522954
18.633306613226456,0.9999974375297151
18.779559118236474,0.9999976838183723
18.9258116232465,0.9999979064353498
19.072064128256518,0.9999981076558081
19.218316633266536,0.999998289536236
19.364569138276554,0.9999984539354685
19.51082164328658,0.9999986025336822
19.657074148296598,0.9999987368495676
19.803326653306616,0.9999988582558492
19.949579158316634,0.9999989679933149
20.09583166332666,0.9999990671834962
20.242084168336678,0.9999991568401309
20.388336673346696,0.9999992378795233
20.534589178356715,0.9999993111299079
20.68084168336674,0.9999993773399156
20.82709418837676,0.9999994371862232
20.973346693386777,0.99999949128047
21.119599198396795,0.9999995401755082
21.26585170340682,0.9999995843710536
21.41210420841684,0.9999996243187924
21.558356713426857,0.9999996604269977
21.704609218436875,0.9999996930647018
21.8508617234469,0.9999997225654679
21.99711422845692,0.9999997492307993
22.143366733466937,0.9999997733332208
22.289619238476956,0.9999997951190636
22.43587174348698,0.9999998148109829
22.582124248497,0.999999832610234
22.728376753507018,0.9999998486987289
22.874629258517036,0.9999998632408948
23.02088176352706,0.9999998763853557
23.16713426853708,0.9999998882664503
23.313386773547098,0.9999998990056058
23.459639278557116,0.9999999087125785
23.60589178356714,0.9999999174865754
23.75214428857716,0.9999999254172689
23.898396793587178,0.9999999325857117
24.044649298597196,0.9999999390651672
24.190901803607222,0.9999999449218563
24.33715430861724,0.9999999502156358
24.48340681362726,0.9999999550006093
24.629659318637277,0.9999999593256798
24.775911823647302,0.9999999632350507
24.92216432865732,0.9999999667686763
25.06841683366734,0.9999999699626712
25.214669338677357,0.9999999728496783
25.360921843687382,0.9999999754592038
25.5071743486974,0.9999999778179174
25.65342685370742,0.9999999799499257
25.799679358717437,0.9999999818770183
25.945931863727463,0.9999999836188902
26.09218436873748,0.9999999851933439
26.2384368737475,0.9999999866164706
26.384689378757518,0.9999999879028149
26.530941883767543,0.9999999890655235
26.67719438877756,0.9999999901164797
26.82344689378758,0.9999999910664242
26.969699398797598,0.9999999919250658
27.115951903807623,0.9999999927011798
27.26220440881764,0.9999999934026984
27.40845691382766,0.9999999940367914
27.554709418837678,0.9999999946099392
27.700961923847697,0.9999999951279994
27.847214428857722,0.9999999955962666
27.99346693386774,0.9999999960195272
28.13971943887776,0.9999999964021062
28.285971943887777,0.9999999967479141
28.432224448897802,0.9999999970604849
28.57847695390782,0.9999999973430136
28.72472945891784,0.9999999975983871
28.870981963927857,0.9999999978292156
29.017234468937882,0.9999999980378584
29.1634869739479,0.9999999982264476
29.30973947895792,0.9999999983969108
29.455991983967937,0.9999999985509902
29.602244488977963,0.9999999986902601
29.74849699398798,0.9999999988161445
29.894749498998,0.9999999989299295
30.041002004008018,0.9999999990327784
30.187254509018043,0.9999999991257418
30.33350701402806,0.9999999992097703
30.47975951903808,0.9999999992857225
30.626012024048098,0.9999999993543744
30.772264529058123,0.9999999994164281
30.91851703406814,0.9999999994725175
31.06476953907816,0.999999999523216
31.21102204408818,0.9999999995690416
31.357274549098204,0.9999999996104627
31.503527054108222,0.9999999996479028
31.64977955911824,0.9999999996817441
31.79603206412826,0.999999999712333
31.942284569138284,0.9999999997399818
32.088537074148306,0.9999999997649731
32.23478957915832,0.9999999997875626
32.38104208416834,0.9999999998079807
32.52729458917837,0.9999999998264366
32.67354709418838,0.9999999998431184
32.819799599198404,0.999999999858197
32.966052104208416,0.9999999998718261
33.11230460921844,0.9999999998841456
33.258557114228466,0.9999999998952807
33.40480961923848,0.9999999999053457
33.5510621242485,0.9999999999144433
33.69731462925853,0.9999999999226665
33.84356713426854,0.9999999999300992
33.989819639278565,0.9999999999368177
34.136072144288576,0.9999999999428903
34.2823246492986,0.9999999999483795
34.42857715430863,0.9999999999533409
34.57482965931864,0.9999999999578255
34.721082164328664,0.9999999999618792
34.86733466933869,0.9999999999655431
35.0135871743487,0.9999999999688549
35.159839679358726,0.9999999999718483
35.30609218436874,0.9999999999745541
35.45234468937876,0.9999999999769997
35.59859719438879,0.9999999999792104
35.74484969939881,0.9999999999812086
35.891102204408824,0.9999999999830147
36.03735470941885,0.9999999999846472
36.18360721442886,0.9999999999861229
36.329859719438886,0.9999999999874567
36.47611222444891,0.9999999999886622
36.62236472945892,0.999999999989752
36.76861723446895,0.999999999990737
36.91486973947897,0.9999999999916271
37.061122244488985,0.999999999992432
37.20737474949901,0.9999999999931595
37.35362725450902,0.999999999993817
37.49987975951905,0.9999999999944111
37.64613226452907,0.9999999999949483
37.79238476953908,0.9999999999954339
37.93863727454911,0.9999999999958726
38.08488977955912,0.9999999999962694
38.231142284569145,0.999999999996628
38.37739478957917,0.999999999996952
38.52364729458918,0.9999999999972451
38.66989979959921,0.9999999999975098
38.81615230460923,0.9999999999977491
38.962404809619244,0.9999999999979654
39.10865731462927,0.999999999998161
39.25490981963928,0.9999999999983378
39.401162324649306,0.9999999999984976
39.54741482965933,0.999999999998642
39.69366733466934,0.9999999999987725
39.83991983967937,0.9999999999988904
39.98617234468939,0.999999999998997
40.132424849699404,0.9999999999990934
40.27867735470943,0.9999999999991807
40.42492985971944,0.9999999999992595
40.57118236472947,0.9999999999993305
40.71743486973949,0.9999999999993949
40.8636873747495,0.9999999999994531
41.00993987975953,0.9999999999995057
41.156192384769554,0.9999999999995532
41.302444889779565,0.9999999999995961
41.44869739478959,0.999999999999635
41.5949498997996,0.99999999999967
41.74120240480963,0.9999999999997018
41.88745490981965,0.9999999999997304
42.033707414829664,0.9999999999997562
42.17995991983969,0.9999999999997797
42.326212424849714,0.9999999999998008
42.472464929859726,0.9999999999998201
42.61871743486975,0.9999999999998372
42.76496993987976,0.999999999999853
42.91122244488979,0.999999999999867
43.05747494989981,0.9999999999998799
43.203727454909824,0.9999999999998914
43.34997995991985,0.9999999999999019
43.496232464929875,0.9999999999999112
43.642484969939886,0.9999999999999198
43.78873747494991,0.9999999999999276
43.93498997995992,0.9999999999999345
44.08124248496995,0.9999999999999407
44.227494989979974,0.9999999999999465
44.373747494989985,0.9999999999999516
44.52,0.9999999999999563
