rsrp_50_gap_target_other_pcells,predicted_target_scell_usage
-28.459999999999997,2.8836397329975144e-09
-28.31374749498998,3.190269216028186e-09
-28.167494989979957,3.5295038953515674e-09
-28.02124248496994,3.904810817928921e-09
-27.874989979959917,4.32002569632736e-09
-27.7287374749499,4.779392110474417e-09
-27.582484969939877,5.287604877898963e-09
-27.43623246492986,5.849858035710471e-09
-27.289979959919837,6.471897924702346e-09
-27.14372745490982,7.160081918109176e-09
-26.997474949899797,7.921443395237121e-09
-26.85122244488978,8.763763624011252e-09
-26.704969939879756,9.695651287092792e-09
-26.558717434869738,1.072663046433948e-08
-26.412464929859716,1.1867237970805987e-08
-26.266212424849698,1.3129131045098526e-08
-26.119959919839676,1.4525206488678275e-08
-25.973707414829658,1.606973247374096e-08
-25.827454909819636,1.7778494366773876e-08
-25.681202404809618,1.966895605813391e-08
-25.534949899799596,2.1760438446466575e-08
-25.388697394789578,2.4074316902107892e-08
-25.242444889779556,2.6634239727583675e-08
-25.096192384769537,2.9466369847909698e-08
-24.949939879759516,3.259965220081376e-08
-24.803687374749497,3.606610955965209e-08
-24.657434869739475,3.99011698123852e-08
-24.511182364729457,4.414402804145689e-08
-24.364929859719435,4.883804710509753e-08
-24.218677354709417,5.4031200814054335e-08
-24.072424849699395,5.977656423309068e-08
-23.926172344689377,6.613285611820713e-08
-23.779919839679355,7.316503903338047e-08
-23.633667334669337,8.09449832800951e-08
-23.487414829659315,8.955220142512639e-08
-23.341162324649297,9.907466093354033e-08
-23.194909819639275,1.0960968321212948e-07
-23.048657314629256,1.2126493825160572e-07
-22.902404809619235,1.3415954503291194e-07
-22.756152304609216,1.4842528894390235e-07
-22.609899799599194,1.6420796864851005e-07
-22.463647294589176,1.8166888617349235e-07
-22.317394789579154,2.009864954415499e-07
-22.171142284569136,2.223582260988881e-07
-22.024889779559114,2.460025012768154e-07
-21.878637274549096,2.7216096990890674e-07
-21.732384769539074,3.0110097641801776e-07
-21.586132264529056,3.33118293013263e-07
-21.439879759519037,3.685401425208926e-07
-21.293627254509016,4.0772854264215507e-07
-21.147374749498994,4.5108400581607533e-07
-21.001122244488975,4.990496324992322e-07
-20.854869739478957,5.521156396950863e-07
-20.708617234468935,6.108243710134413e-07
-20.562364729458913,6.757758394614785e-07
-20.416112224448895,7.476338596119557e-07
-20.269859719438877,8.271328318170313e-07
-20.123607214428855,9.150852477994177e-07
-19.977354709418833,1.0123899943242478e-06
-19.831102204408815,1.1200415398104035e-06
-19.684849699398796,1.2391400977624059e-06
-19.538597194388775,1.370902870885486e-06
-19.392344689378753,1.5166764907891133e-06
-19.246092184368734,1.6779507804007686e-06
-19.099839679358716,1.856373979726833e-06
-18.953587174348694,2.0537695905491464e-06
-18.807334669338672,2.272155012186902e-06
-18.661082164328654,2.5137621587524546e-06
-18.514829659318636,2.7810602685737935e-06
-18.368577154308614,3.0767811388516127e-06
-18.222324649298592,3.4039470433946926e-06
-18.076072144288574,3.765901618685207e-06
-17.929819639278556,4.166344033846409e-06
-17.783567134268534,4.609366793627025e-06
-17.637314629258512,5.099497560622325e-06
-17.491062124248494,5.641745423999524e-06
-17.344809619238475,6.241652087402062e-06
-17.198557114228453,6.905348498937838e-06
-17.05230460921843,7.639617501720087e-06
-16.906052104208413,8.451963144894081e-06
