grid_lat,grid_lon,point_num,run_num,run_with_onoff_num,run_with_onoff_ratio,lat_index,lon_index
40.42725,-86.92185,1,10,1,0.1,2,0
40.42925,-86.92185,1,5,0,0,4,1
40.42725,-86.92085,1,7,5,0.714285714,2,1
40.42825,-86.92085,1,5,0,0,3,1
40.42875,-86.92085,1,8,7,0.875,4,2
40.42675,-86.92035,1,5,0,0,1,2
40.42725,-86.92035,1,9,2,0.222222222,2,2
40.42825,-86.92035,1,5,0,0,3,2
40.42625,-86.91935,1,5,0,0,1,3
40.42725,-86.91935,1,8,2,0.25,2,3
40.42825,-86.91885,1,7,6,0.857142857,3,3
40.42875,-86.91935,2,11,1,0.090909091,4,3
40.42575,-86.91835,1,5,0,0,0,4
40.42625,-86.91835,1,6,0,0,1,4
40.42725,-86.91835,2,15,2,0.133333333,2,4
40.42825,-86.91835,2,11,4,0.363636364,3,4
40.42875,-86.91835,1,5,0,0,4,4
40.42575,-86.91785,1,5,0,0,0,5
40.42675,-86.91785,2,16,7,0.4375,1,5
40.42725,-86.91785,1,12,9,0.75,2,5
40.42775,-86.91785,1,9,6,0.666666667,3,5
40.42825,-86.91785,1,8,1,0.125,3,5
40.42875,-86.91785,1,5,0,0,4,5
40.42575,-86.91735,1,5,0,0,0,6
40.42725,-86.91735,1,34,27,0.794117647,2,6
40.42775,-86.91735,1,16,7,0.4375,3,6
40.42825,-86.91735,1,22,7,0.318181818,3,6
40.42875,-86.91735,1,5,0,0,4,6
40.42575,-86.91685,1,5,0,0,0,7
40.42725,-86.91685,1,22,7,0.318181818,2,7
40.42825,-86.91685,1,5,0,0,3,7
40.42625,-86.91635,1,12,6,0.5,1,8
40.42725,-86.91635,1,14,0,0,2,8
40.42575,-86.91585,1,5,0,0,0,9
40.42625,-86.91585,2,12,2,0.166666667,1,9
40.42725,-86.91585,1,5,0,0,2,9
40.42625,-86.91535,1,10,0,0,1,10
