grid_lat,grid_lon,cellset_length,target_pcell_usage,target_scell_usage,rsrp_25_max_target_pcells,rsrp_25_max_other_pcells,rsrp_25_gap_target_other_pcells,rsrp_50_max_target_pcells,rsrp_50_max_other_pcells,rsrp_50_gap_target_other_pcells,rsrp_75_max_target_pcells,rsrp_75_max_other_pcells,rsrp_75_gap_target_other_pcells,rsrp_25_gap_273_371_387410,rsrp_50_gap_273_371_387410,rsrp_75_gap_273_371_387410
40.4219,-86.9162,0,0.0,0.0,-100.875,-90.3,-10.575000000000003,-99.66,-88.05000000000001,-11.609999999999985,-98.155,-87.0375,-11.117500000000007,46.120000000000005,3.700000000000003,6.11999999999999
40.422,-86.91645,1968,0.0,0.0,-107.98,-91.2875,-16.69250000000001,-106.96,-88.97,-17.989999999999995,-105.61,-87.5325,-18.0775,12.74499999999999,1.789999999999992,4.400000000000006
40.4225,-86.91645,1771,0.0,0.0,-105.5475,-87.68,-17.867499999999993,-104.25,-85.66,-18.590000000000003,-102.785,-83.7725,-19.012500000000003,5.239999999999995,2.9099999999999966,0.7299999999999898
40.4225,-86.91640000000001,2672,0.0,0.0,-108.3,-87.91499999999999,-20.385000000000005,-106.14,-86.39,-19.75,-103.85,-84.465,-19.38499999999999,20.960000000000022,10.530000000000001,4.5249999999999915
40.42255,-86.91645,3111,0.0,0.0,-105.905,-88.15,-17.754999999999995,-104.48,-86.66,-17.820000000000007,-95.755,-84.86,-10.894999999999996,15.882500000000022,7.829999999999998,3.9299999999999926
40.4238,-86.91655,252,0.0,0.0,-92.81,-85.14,-7.670000000000002,-91.79,-83.57499999999999,-8.215000000000018,-90.265,-81.00999999999999,-9.25500000000001,3.4200000000000017,5.930000000000007,7.570000000000007
40.4238,-86.9165,2523,0.0099088386841062,0.0099088386841062,-94.45,-85.5175,-8.932500000000005,-92.92,-83.65,-9.269999999999996,-89.66,-81.13,-8.530000000000001,5.8799999999999955,5.730000000000004,6.260000000000005
40.4238,-86.91645,667,0.0509745127436281,0.0509745127436281,-97.795,-85.1975,-12.597499999999997,-94.46,-83.48,-10.97999999999999,-91.9975,-81.41499999999999,-10.58250000000001,4.7875000000000085,3.220000000000013,4.829999999999998
40.42385,-86.91655,203,0.0,0.0,-93.825,-84.75,-9.075000000000003,-91.985,-83.185,-8.799999999999997,-88.625,-80.5725,-8.052499999999995,5.509999999999991,4.450000000000003,5.3999999999999915
40.42385,-86.9165,586,0.0,0.0,-94.54,-84.92750000000001,-9.612499999999997,-92.78,-83.435,-9.344999999999999,-88.68,-80.70750000000001,-7.972499999999997,6.477499999999992,6.539999999999992,8.497500000000002
40.4239,-86.91655,173,0.0,0.0,-94.7175,-85.045,-9.6725,-93.455,-83.69,-9.765,-92.095,-81.72999999999999,-10.365000000000009,5.840000000000003,5.670000000000002,6.27000000000001
40.42405,-86.91685000000001,393,0.0,0.0,-90.5425,-91.935,1.3924999999999983,-90.065,-90.86,0.7950000000000017,-89.55,-89.625,0.07500000000000284,20.75,18.64,11.709999999999994
40.4241,-86.9163,315,0.0126984126984126,0.0126984126984126,-103.375,-86.265,-17.11,-102.775,-84.82,-17.955000000000013,-100.5975,-83.98,-16.617499999999993,18.61,8.629999999999995,7.460000000000008
