ratio,cdf
0.0,0.012345679012345678
0.0,0.024691358024691357
0.0,0.037037037037037035
0.0,0.04938271604938271
0.0,0.06172839506172839
0.0,0.07407407407407407
0.0,0.08641975308641975
0.0,0.09876543209876543
0.0,0.1111111111111111
0.0,0.12345679012345678
0.0,0.13580246913580246
0.0,0.14814814814814814
0.0,0.16049382716049382
0.0,0.1728395061728395
0.0,0.18518518518518517
0.0,0.19753086419753085
0.0,0.20987654320987653
0.0,0.2222222222222222
0.0,0.2345679012345679
0.0,0.24691358024691357
0.0,0.25925925925925924
0.0,0.2716049382716049
0.0,0.2839506172839506
0.0,0.2962962962962963
0.0,0.30864197530864196
1.44231636846399e-16,0.32098765432098764
0.0002233638597275,0.3333333333333333
0.0005049047893826,0.345679012345679
0.0008155680586383,0.35802469135802467
0.0010242647525882,0.37037037037037035
0.002257336343115,0.38271604938271603
0.0027027027027025,0.3950617283950617
0.0040997608472839,0.4074074074074074
0.0055042613636363,0.41975308641975306
0.010933025331076,0.43209876543209874
0.0118979630687226,0.4444444444444444
0.0137589433131535,0.4567901234567901
0.0145051194539248,0.4691358024691358
0.0164835164835164,0.48148148148148145
0.0191285866099892,0.49382716049382713
0.0249504659866442,0.5061728395061729
0.033951064137831,0.5185185185185186
0.0439730988101397,0.5308641975308643
0.0477903391572456,0.5432098765432101
0.0495433789954337,0.5555555555555558
0.0570563577084301,0.5679012345679015
0.0797542445150785,0.5802469135802473
0.0808909730363422,0.592592592592593
0.0826181144680921,0.6049382716049387
0.085,0.6172839506172845
0.0984627063959005,0.6296296296296302
0.098912218568176,0.6419753086419759
0.1069030056148849,0.6543209876543217
0.1101661392405062,0.6666666666666674
0.1151972722844616,0.6790123456790131
0.1327264015333012,0.6913580246913589
0.1329708353929807,0.7037037037037046
0.1451153967752133,0.7160493827160503
0.1469571750563484,0.7283950617283961
0.1470559845559844,0.7407407407407418
0.1710526315789473,0.7530864197530875
0.1807752686873565,0.7654320987654333
0.1870195559928663,0.777777777777779
0.1909187684245005,0.7901234567901247
0.199486366039731,0.8024691358024705
0.2106741573033706,0.8148148148148162
0.2170361726954491,0.827160493827162
0.2176052487698195,0.8395061728395077
0.2463958060288335,0.8518518518518534
0.2720059880239521,0.8641975308641991
0.2768282988871223,0.8765432098765449
0.28687303426585,0.8888888888888906
0.2947980572597137,0.9012345679012363
0.2981783317353786,0.9135802469135821
0.3238645151312059,0.9259259259259278
0.3643293507055198,0.9382716049382736
0.4476807888970051,0.9506172839506193
0.4781919111816019,0.962962962962965
0.5088174273858921,0.9753086419753108
0.5785851913019544,0.9876543209876565
0.5941359682096445,1.0000000000000022
