grid_lon,height,thput_0,thput_1,thput_5,thput_10,thput_25,thput_50,thput_75,thput_90,thput_95,thput_99,thput_100,total_sample
40.4617,90.0000,-94.4375,-94.0000,-92.7500,-91.9701,-91.1875,-87.3440,-86.1699,-84.1500,-82.6222,-82.1111,-82.0000,514.0000
40.4617,120.0000,-95.6250,-95.5487,-94.6125,-92.2468,-91.3088,-87.0000,-85.9375,-84.1687,-83.7285,-83.4628,-83.0700,623.0000
40.4618,0.0000,-114.5625,-112.7750,-110.7190,-108.8670,-105.5625,-101.1800,-97.8750,-92.4375,-90.1250,-88.8375,-88.6875,241.0000
40.4618,30.0000,-90.9380,-90.1652,-88.5140,-87.4920,-85.4220,-77.8125,-72.1875,-70.2500,-69.6250,-69.1250,-68.8750,1197.0000
40.4618,60.0000,-96.0160,-94.3237,-89.3125,-87.8750,-86.0625,-84.3125,-82.9530,-81.7420,-80.9586,-78.5220,-78.0080,1127.0000
40.4618,90.0000,-93.8750,-93.3750,-92.6875,-92.2500,-91.6875,-89.8125,-86.3750,-84.0676,-83.5860,-82.2465,-82.0940,557.0000
40.4618,120.0000,-94.4375,-94.2500,-93.6281,-92.7500,-91.0000,-87.4375,-86.3440,-84.2007,-83.5156,-83.2698,-82.9530,680.0000
40.4619,0.0000,-116.2500,-115.4744,-112.8926,-110.2562,-106.0312,-102.6015,-99.1483,-93.7095,-93.0000,-92.0625,-91.8750,248.0000
40.4619,30.0000,-100.5470,-91.9530,-88.9920,-87.9140,-84.9340,-78.1875,-72.0312,-70.6250,-70.1875,-69.5812,-69.2500,1431.0000
40.4619,60.0000,-93.4375,-90.1063,-88.4375,-87.5938,-86.4219,-84.8240,-83.1898,-81.8480,-81.0276,-78.9511,-78.0080,1066.0000
40.4619,90.0000,-94.6250,-94.3750,-93.7125,-92.8000,-91.6250,-88.3750,-86.2500,-83.6106,-82.9812,-82.5400,-82.2660,613.0000
40.4619,120.0000,-96.8125,-95.1719,-93.8730,-93.3400,-92.3125,-87.6250,-86.5569,-84.4375,-83.4608,-83.0940,-82.9690,626.0000
40.4620,0.0000,-115.6875,-115.5625,-112.3586,-110.1937,-106.8281,-100.5000,-97.5800,-94.1875,-93.7469,-93.1250,-92.6170,260.0000
40.4620,30.0000,-115.3280,-90.0273,-89.3520,-87.1055,-85.1370,-78.7500,-73.2656,-71.0000,-70.7500,-70.1875,-69.7500,1226.0000
40.4620,60.0000,-92.4690,-91.4076,-88.2500,-87.0625,-86.1875,-84.9375,-83.1840,-81.3125,-80.6864,-79.0157,-78.5080,899.0000
40.4620,90.0000,-94.5625,-93.1625,-92.6875,-92.2500,-90.9140,-87.8125,-85.8125,-82.8750,-82.5940,-82.3152,-82.2110,641.0000
40.4620,120.0000,-97.9375,-97.2313,-95.2460,-93.4375,-91.3595,-88.1720,-86.7500,-84.1170,-83.1210,-82.9690,-82.6720,731.0000
40.4621,0.0000,-117.6250,-114.9500,-113.6875,-112.5000,-106.4375,-102.8750,-100.2970,-95.0000,-93.8750,-92.7250,-92.0000,221.0000
40.4621,30.0000,-90.1720,-89.5609,-88.7582,-87.0550,-85.4020,-79.6875,-74.6875,-71.5000,-70.5062,-69.8750,-69.5625,1003.0000
40.4621,60.0000,-90.6875,-89.8125,-88.5625,-87.8063,-86.4375,-85.3125,-83.3069,-82.0860,-80.4140,-79.1318,-78.0080,962.0000
40.4621,90.0000,-95.0625,-93.3512,-92.9375,-92.3750,-91.1875,-89.4375,-85.6525,-83.3830,-82.9204,-82.4140,-82.2110,739.0000
40.4621,120.0000,-97.1875,-97.0000,-95.1250,-93.8125,-91.9219,-88.0000,-86.6875,-84.1264,-83.1178,-82.8225,-82.5780,662.0000
40.4622,0.0000,-115.8440,-115.6502,-110.2375,-107.8875,-105.7305,-102.1090,-97.6645,-94.1187,-93.1250,-92.2500,-92.0000,315.0000
40.4622,30.0000,-90.4140,-88.9848,-88.1353,-86.6106,-84.5270,-79.6250,-73.4062,-70.5500,-70.1250,-69.4375,-68.8125,1299.0000
40.4622,60.0000,-91.9375,-90.2900,-88.8125,-87.8750,-86.5000,-85.0000,-83.2500,-81.2158,-79.8184,-78.8644,-78.0080,769.0000
