value,value_log,value_divide_100,value_divide_1000,cdf
1.934,0.28645647317346057,0.01934,0.001934,0.1111111111111111
7.879,0.8964710976406586,0.07879,0.007879,0.2222222222222222
13.063,1.1160429335708784,0.13063,0.013063,0.3333333333333333
14.848,1.1716679603252937,0.14848,0.014848,0.4444444444444444
21.617,1.3347954246260227,0.21617,0.021617,0.5555555555555556
33.729,1.5280034696324014,0.33729,0.033729,0.6666666666666666
42.053,1.6237969829014842,0.42053,0.042053,0.7777777777777778
342.227,2.5343142702185575,3.42227,0.342227,0.8888888888888888
351.81,2.546308180095253,3.5181,0.35181,1.0
