height,index,thput
0.0,1.0,7.1
0.0,1.0,0.9
30.0,2.0,17.4
30.0,2.0,19.6
30.0,2.0,0.0
30.0,2.0,0.0
60.0,3.0,25.2
60.0,3.0,2.2
60.0,3.0,24.1
60.0,3.0,0.0
90.0,4.0,1.5
90.0,4.0,1.4
90.0,4.0,22.2
90.0,4.0,1.5
120.0,5.0,21.0
120.0,5.0,27.1
120.0,5.0,3.6
120.0,5.0,2.0
