height,thput_10,thput_25,thput_50,thput_75,thput_90
0.0,1.2,1.8,2.3,2.9,4.6
30.0,2.8,8.4,12.6,15.5,17.1
60.0,3.1,10.0,17.7,20.7,23.5
90.0,2.5,10.3,14.3,18.2,20.5
120.0,3.6,9.0,14.5,17.4,19.9
