height,thput_10,thput_25,thput_50,thput_75,thput_90
0.0000,4.6169,5.2640,6.8240,7.9200,9.6650
30.0000,17.0865,31.8468,42.8380,46.0110,49.9744
60.0000,24.0697,28.8646,46.4395,54.7600,66.8120
90.0000,23.9093,26.6395,41.2895,47.1615,48.7707
120.0000,23.0720,28.8240,32.9200,33.6960,37.2656
