height,thput_10,thput_25,thput_50,thput_75,thput_90
0.0,4.1,4.9,6.3,8.5,11.1
30.0,16.3,19.8,33.1,39.4,43.1
60.0,21.5,26.1,33.2,40.7,51.0
90.0,18.2,24.9,29.1,38.3,44.3
120.0,22.9,25.1,28.9,36.8,55.7
