taskround,dataset_flag,static_flag,location,fine_grained_analysis_flag,date,file_path,min_ts,max_ts,max_lat,min_lat,max_lon,min_lon,static_flag_new
uldl-a-campus-home,old,driving,,,20241226,20241226/gps_cellset_thput_0.1/gct_trace_uldl-a-campus-home.csv,1735256266.6,1735256849.1,40.4313724,40.4211676,-86.898447,-86.9167782,driving
a-uldl-r1-1,old,static,AP4,,20250120,20250120/gps_cellset_thput_0.1/gct_trace_a-uldl-r1-1.csv,1737401118.9,1737401936.5,40.43421,40.4212,-86.89844,-86.91668,driving
a-uldl-r1-2,old,driving,,,20250120,20250120/gps_cellset_thput_0.1/gct_trace_a-uldl-r1-2.csv,1737401964.4,1737402735.9,40.43421,40.42219,-86.9009911,-86.91667,driving
a-uldl-r3-1,old,driving,,,20250120,20250120/gps_cellset_thput_0.1/gct_trace_a-uldl-r3-1.csv,1737402769.3,1737403570.9,40.46888,40.43247,-86.89807,-86.92454,driving
a-uldl-r3-2,old,driving,,,20250120,20250120/gps_cellset_thput_0.1/gct_trace_a-uldl-r3-2.csv,1737403606.3,1737404016.1,40.46888,40.45931,-86.89956,-86.92454,driving
a-uldl-r2-2,old,driving,,,20250120,20250120/gps_cellset_thput_0.1/gct_trace_a-uldl-r2-2.csv,1737404060.6,1737405688.3,40.46891,40.42115,-86.89807,-86.9158,driving
a-uldl-home-lwsn-1,old,static,AP4,,20250121,20250121/gps_cellset_thput_0.1/gct_trace_a-uldl-home-lwsn-1.csv,1737481449.6,1737482187.3,40.4289,40.42121,-86.89846,-86.91663,driving
a-uldl-lwsn-home-1,old,static,AP6,,20250121,20250121/gps_cellset_thput_0.1/gct_trace_a-uldl-lwsn-home-1.csv,1737489655.8,1737490800.2,40.4289,40.42118,-86.8984,-86.91667,driving
a-uldl-home-lwsn-2,old,static,AP4,,20250124,20250124/gps_cellset_thput_0.1/gct_trace_a-uldl-home-lwsn-2.csv,1737727611.9,1737728686.7,40.42907,40.42123,-86.902,-86.9175215,driving
a-uldl-r4-1,old,static,AP4,,20250124,20250124/gps_cellset_thput_0.1/gct_trace_a-uldl-r4-1.csv,1737738783.4,1737739788.1,40.43137,40.424,-86.90796,-86.918581,driving
a-uldl-r4-3,old,static,AP4,,20250124,20250124/gps_cellset_thput_0.1/gct_trace_a-uldl-r4-3.csv,1737740420.4,1737740768.5,40.4314,40.424,-86.91033,-86.91677,driving
a-uldl-r5-1,old,driving,,,20250124,20250124/gps_cellset_thput_0.1/gct_trace_a-uldl-r5-1.csv,1737740889.4,1737742358.1,40.4545322,40.43081,-86.90573,-86.9214,driving
a-uldl-loc11-1,old,static,,,20250130,20250130/gps_cellset_thput_0.1/gct_trace_a-uldl-loc11-1.csv,1738301457.2,1738301643.4,40.42429,40.42426,-86.91627,-86.91642,static
a-uldl-loc11-2,old,static,,,20250130,20250130/gps_cellset_thput_0.1/gct_trace_a-uldl-loc11-2.csv,1738301873.0,1738302144.4,40.42429,40.42422,-86.91622,-86.91632,static
a-uldl-lwsn-1,old,driving,,,20250131,20250131/gps_cellset_thput_0.1/gct_trace_a-uldl-lwsn-1.csv,1738343498.1,1738343914.9,40.44596,40.4290833,-86.9141,-86.92139,driving
a-dl-loc14-1,old,static,,,20250131,20250131/gps_cellset_thput_0.1/gct_trace_a-dl-loc14-1.csv,1738344047.9,1738344496.5,40.44568,40.4456011,-86.91528,-86.91557,static
a-uldl-loc14-1,old,static,,,20250131,20250131/gps_cellset_thput_0.1/gct_trace_a-uldl-loc14-1.csv,1738344597.3,1738344963.6,40.44568,40.44565,-86.91553,-86.91558,static
a-uldl-loc7-c13-1,old,static,,,20250203,20250203/gps_cellset_thput_0.1/gct_trace_a-uldl-loc7-c13-1.csv,1738643068.6,1738643435.5,40.43164,40.43147,-86.91457,-86.91496,static
a-uldl-loc7-c12-1,old,driving,,,20250203,20250203/gps_cellset_thput_0.1/gct_trace_a-uldl-loc7-c12-1.csv,1738644425.0,1738644804.1,40.43164,40.43148,-86.91459,-86.91591,driving
a-uldl-scan-1,old,static,AP2,,20250203,20250203/gps_cellset_thput_0.1/gct_trace_a-uldl-scan-1.csv,1738645345.0,1738646402.1,40.43157,40.42418,-86.9116489,-86.91666,driving
a-uldl-scan-2,old,static,AP6,,20250203,20250203/gps_cellset_thput_0.1/gct_trace_a-uldl-scan-2.csv,1738646449.4,1738647943.8,40.42445,40.42103,-86.89844,-86.9116489,driving
a-uldl-scan-3,old,static,AP6,,20250204,20250204/gps_cellset_thput_0.1/gct_trace_a-uldl-scan-3.csv,1738684567.5,1738686207.0,40.42741,40.42105,-86.8991456,-86.91482,driving
a-uldl-scan-4,old,driving,,,20250204,20250204/gps_cellset_thput_0.1/gct_trace_a-uldl-scan-4.csv,1738703647.9,1738704591.6,40.46895,40.42521,-86.91413,-86.92461,driving
a-coverage-dl-1,new,static,AP6,,20250325-a,20250325-a/gps_cellset_thput_0.1/gct_trace_a-coverage-dl-1.csv,1742910331.1,1742911959.7,40.42412,40.42024,-86.89993,-86.91178000000002,driving
a-coverage-dl-2,new,driving,,,20250325-a,20250325-a/gps_cellset_thput_0.1/gct_trace_a-coverage-dl-2.csv,1742913192.7,1742913880.2,40.42429,40.42069,-86.91035,-86.92573,driving
a-coverage-dl-3,new,static,AP7,,20250325-a,20250325-a/gps_cellset_thput_0.1/gct_trace_a-coverage-dl-3.csv,1742913913.4,1742915115.2,40.42348,40.42084000000001,-86.92182,-86.92746,driving
a-coverage-dl-4,new,static,AP4,,20250325-a,20250325-a/gps_cellset_thput_0.1/gct_trace_a-coverage-dl-4.csv,1742915725.7,1742916315.1,40.42735220000001,40.42415,-86.9158178,-86.9255689,driving
a-coverage-dl-5,new,static,AP2,,20250325-a,20250325-a/gps_cellset_thput_0.1/gct_trace_a-coverage-dl-5.csv,1742916367.4,1742917333.2,40.4307,40.42782,-86.91305,-86.91563559999999,driving
a-coverage-dl-6,new,static,AP6,,20250325-a,20250325-a/gps_cellset_thput_0.1/gct_trace_a-coverage-dl-6.csv,1742918259.1,1742919154.7,40.42821,40.42454,-86.91174000000002,-86.91399,driving
a-coverage-dl-7,new,static,AP4,,20250325-a,20250325-a/gps_cellset_thput_0.1/gct_trace_a-coverage-dl-7.csv,1742919300.6,1742919589.7,40.42725,40.4254667,-86.9141,-86.9169556,driving
a-coverage-dl-9,new,driving,,,20250325-a,20250325-a/gps_cellset_thput_0.1/gct_trace_a-coverage-dl-9.csv,1742951606.5,1742952681.3,40.42533,40.41816,-86.90443,-86.93065,driving
a-coverage-dl-10,new,driving,,,20250325-a,20250325-a/gps_cellset_thput_0.1/gct_trace_a-coverage-dl-10.csv,1742952999.9,1742953682.8,40.42425,40.41849000000001,-86.91024,-86.93065,driving
a-coverage-dl-11,new,driving,,,20250325-a,20250325-a/gps_cellset_thput_0.1/gct_trace_a-coverage-dl-11.csv,1742953794.7,1742954444.5,40.42405,40.41846,-86.90458000000002,-86.93055,driving
a-coverage-dl-2,new,driving,,,20250327-a1,20250327-a1/gps_cellset_thput_0.1/gct_trace_a-coverage-dl-2.csv,1743090276.5,1743090690.8,40.42766,40.42222,-86.9024,-86.91035,driving
a-coverage-dl-3,new,driving,,,20250327-a1,20250327-a1/gps_cellset_thput_0.1/gct_trace_a-coverage-dl-3.csv,1743090738.7,1743091467.6,40.43141,40.42223,-86.9045111,-86.91911,driving
a-coverage-dl-4,new,static,AP5,,20250327-a1,20250327-a1/gps_cellset_thput_0.1/gct_trace_a-coverage-dl-4.csv,1743091502.1,1743092202.4,40.43146,40.42412,-86.91663,-86.9224,driving
a-coverage-dl-6,new,static,AP5,,20250327-a1,20250327-a1/gps_cellset_thput_0.1/gct_trace_a-coverage-dl-6.csv,1743092251.8,1743096118.5,40.43158,40.41849000000001,-86.91025,-86.93224000000002,driving
a-explore-dl-1,new,static,AP8,,20250331-a,20250331-a/gps_cellset_thput_0.1/gct_trace_a-explore-dl-1.csv,1743445941.2,1743446504.1,40.43299,40.42019000000001,-86.91032,-86.92225,driving
a-explore-dl-2,new,driving,,,20250331-a,20250331-a/gps_cellset_thput_0.1/gct_trace_a-explore-dl-2.csv,1743446538.7,1743446942.7,40.45364,40.43627,-86.91038,-86.9246,driving
a-explore-dl-3,new,static,AP4,,20250331-a,20250331-a/gps_cellset_thput_0.1/gct_trace_a-explore-dl-3.csv,1743447891.4,1743448164.9,40.43138,40.42703,-86.91436999999998,-86.91727,driving
a-explore-dl-4,new,static,AP4,,20250331-a,20250331-a/gps_cellset_thput_0.1/gct_trace_a-explore-dl-4.csv,1743448464.8,1743448886.9,40.42735,40.42691,-86.91545,-86.91643,static
a-explore-dl-5,new,static,AP4,,20250331-a,20250331-a/gps_cellset_thput_0.1/gct_trace_a-explore-dl-5.csv,1743449278.6,1743449985.7,40.4274,40.42718,-86.91572,-86.91654,static
a-explore-dl-6,new,static,AP7,,20250331-a,20250331-a/gps_cellset_thput_0.1/gct_trace_a-explore-dl-6.csv,1743450852.1,1743451573.0,40.42172,40.42093,-86.92558000000002,-86.92568,static
a-explore-dl-7,new,static,AP5,,20250331-a,20250331-a/gps_cellset_thput_0.1/gct_trace_a-explore-dl-7.csv,1743451619.2,1743451842.3,40.42706,40.42413,-86.91660999999998,-86.9256733,driving
a-explore-dl-8,new,driving,,,20250331-a,20250331-a/gps_cellset_thput_0.1/gct_trace_a-explore-dl-8.csv,1743452427.4,1743452698.7,40.4264956,40.42067,-86.91596,-86.91793,driving
a-explore-dl-9,new,static,AP8,,20250331-a,20250331-a/gps_cellset_thput_0.1/gct_trace_a-explore-dl-9.csv,1743453213.6,1743453703.7,40.42062,40.42029,-86.91568000000002,-86.91913000000002,driving
a-explore-dl-10,new,static,AP8,,20250331-a,20250331-a/gps_cellset_thput_0.1/gct_trace_a-explore-dl-10.csv,1743453843.5,1743454337.5,40.42074,40.42051,-86.91609,-86.91901999999997,driving
a-ap1-dl-1,new,static,AP4,,20250401-a,20250401-a/gps_cellset_thput_0.1/gct_trace_a-ap1-dl-1.csv,1743532172.3,1743532471.2,40.42729,40.42714,-86.91579,-86.91624,static
a-ap1-dl-2,new,static,AP4,,20250401-a,20250401-a/gps_cellset_thput_0.1/gct_trace_a-ap1-dl-2.csv,1743532516.7,1743532809.3,40.42729,40.42714,-86.9158,-86.91619,static
