taskround,dataset_flag,static_flag,location,fine_grained_analysis_flag,date,file_path,min_ts,max_ts,max_lat,min_lat,max_lon,min_lon,static_flag_new
t-l8-dl-1,new,static,TP6,se3,20250309,20250309/gps_cellset_thput_0.1/gct_trace_t-l8-dl-1.csv,1741540879,1741541223,40.42762,40.42715,-86.91716,-86.91743,static
t-l8p1-dl-1,new,static,TP6,se3,20250309,20250309/gps_cellset_thput_0.1/gct_trace_t-l8p1-dl-1.csv,1741541291,1741541621,40.42795,40.4275811,-86.91713,-86.91741,static
t-l8p1-dl-2,new,static,TP6,se3,20250309,20250309/gps_cellset_thput_0.1/gct_trace_t-l8p1-dl-2.csv,1741541708,1741542031,40.42781,40.42766,-86.91721,-86.91737,static
t-l8p1-dl-3,new,static,TP6,se3,20250309,20250309/gps_cellset_thput_0.1/gct_trace_t-l8p1-dl-3.csv,1741542122,1741542450,40.42776,40.42765,-86.91718,-86.91738,static
t-l8p1-dl-4,new,static,TP6,se3,20250309,20250309/gps_cellset_thput_0.1/gct_trace_t-l8p1-dl-4.csv,1741542528,1741542866,40.42774,40.42764,-86.91719,-86.91737,static
t-l8p1-dl-5,new,static,TP6,se3,20250309,20250309/gps_cellset_thput_0.1/gct_trace_t-l8p1-dl-5.csv,1741542929,1741543250,40.42776,40.42744,-86.91723,-86.91769,static
t-l8p2-dl-1,new,static,TP6,se3,20250309,20250309/gps_cellset_thput_0.1/gct_trace_t-l8p2-dl-1.csv,1741543318,1741543968,40.42771,40.42738,-86.91737,-86.91799,static
t-l8p2-dl-2,new,static,TP6,se3,20250309,20250309/gps_cellset_thput_0.1/gct_trace_t-l8p2-dl-2.csv,1741544027,1741544340,40.42763,40.42741,-86.91774,-86.91793,static
t-l8p2-dl-3,new,static,TP6,se3,20250309,20250309/gps_cellset_thput_0.1/gct_trace_t-l8p2-dl-3.csv,1741544416,1741544728,40.42764,40.42742,-86.91775,-86.9179389,static
t-l8p2-dl-4,new,static,TP6,se3,20250309,20250309/gps_cellset_thput_0.1/gct_trace_t-l8p2-dl-4.csv,1741544805,1741545141,40.42763,40.42736,-86.91763,-86.918,static
t-l8p2-dl-5,new,static,TP6,se3,20250309,20250309/gps_cellset_thput_0.1/gct_trace_t-l8p2-dl-5.csv,1741545217,1741545821,40.42764,40.4272,-86.9176456,-86.91797,static
t-l8p3-dl-1,new,static,TP6,,20250309,20250309/gps_cellset_thput_0.1/gct_trace_t-l8p3-dl-1.csv,1741545873,1741546211,40.42727,40.4269578,-86.91687,-86.9179833,driving
t-l8p3-dl-2,new,static,TP6,se3,20250309,20250309/gps_cellset_thput_0.1/gct_trace_t-l8p3-dl-2.csv,1741546319,1741546670,40.4274078,40.42679,-86.9173,-86.91808,static
t-l8p3-dl-3,new,static,TP6,se3,20250309,20250309/gps_cellset_thput_0.1/gct_trace_t-l8p3-dl-3.csv,1741546721,1741547039,40.42734,40.42695,-86.91732,-86.91802,static
t-l8p3-dl-4,new,static,TP6,se3,20250309,20250309/gps_cellset_thput_0.1/gct_trace_t-l8p3-dl-4.csv,1741547376,1741547699,40.4273,40.4270733,-86.9173,-86.91799,static
t-l8p3-dl-5,new,static,TP6,,20250309,20250309/gps_cellset_thput_0.1/gct_trace_t-l8p3-dl-5.csv,1741547758,1741548125,40.4276,40.42664,-86.91649,-86.91848,driving
t-l8p4-dl-1,new,static,TP6,,20250309,20250309/gps_cellset_thput_0.1/gct_trace_t-l8p4-dl-1.csv,1741548225,1741548570,40.42834,40.42722,-86.91651,-86.91675,driving
t-l8p4-dl-2,new,static,TP6,se3,20250309,20250309/gps_cellset_thput_0.1/gct_trace_t-l8p4-dl-2.csv,1741548656,1741549267,40.42748,40.42743,-86.9166,-86.91667,static
t-l8p4-dl-3,new,static,TP6,se3,20250309,20250309/gps_cellset_thput_0.1/gct_trace_t-l8p4-dl-3.csv,1741549329,1741549660,40.42747,40.42737,-86.9166,-86.91666,static
t-l8p4-dl-4,new,static,TP6,se3,20250309,20250309/gps_cellset_thput_0.1/gct_trace_t-l8p4-dl-4.csv,1741549733,1741550093,40.42748,40.42746,-86.9166411,-86.91667,static
t-l8p4-dl-5,new,static,TP6,,20250309,20250309/gps_cellset_thput_0.1/gct_trace_t-l8p4-dl-5.csv,1741550141,1741550459,40.43176,40.42746,-86.91051,-86.91672,driving
t-sp1-dl-1,new,static,TP6,se3,20250329-spatial,20250329-spatial/gps_cellset_thput_0.1/gct_trace_t-sp1-dl-1.csv,1743272763,1743272945,40.42753,40.42735,-86.91725,-86.9175744,static
t-sp4-dl-1,new,static,TP6,se3,20250329-spatial,20250329-spatial/gps_cellset_thput_0.1/gct_trace_t-sp4-dl-1.csv,1743273375,1743273632,40.4272,40.42691,-86.91723,-86.91778,static
t-sp4-dl-2,new,static,TP6,se3,20250329-spatial,20250329-spatial/gps_cellset_thput_0.1/gct_trace_t-sp4-dl-2.csv,1743273632,1743273909,40.42723,40.42696,-86.91725,-86.91763,static
t-sp4-dl-3,new,static,TP6,se3,20250329-spatial,20250329-spatial/gps_cellset_thput_0.1/gct_trace_t-sp4-dl-3.csv,1743273980,1743274215,40.42802,40.42703,-86.91716,-86.91802,static
t-sp4-dl-4,new,static,TP6,,20250329-spatial,20250329-spatial/gps_cellset_thput_0.1/gct_trace_t-sp4-dl-4.csv,1743274215,1743274555,40.42795,40.426893,-86.91713,-86.91809,driving
t-sp4-dl-5,new,static,TP6,se3,20250329-spatial,20250329-spatial/gps_cellset_thput_0.1/gct_trace_t-sp4-dl-5.csv,1743274626,1743274891,40.42719,40.42685,-86.91732,-86.91781,static
t-sp3-dl-1,new,static,TP6,se3,20250329-spatial,20250329-spatial/gps_cellset_thput_0.1/gct_trace_t-sp3-dl-1.csv,1743275318,1743275564,40.42704,40.42687,-86.91651,-86.91684,static
t-sp3-dl-2,new,static,TP6,se3,20250329-spatial,20250329-spatial/gps_cellset_thput_0.1/gct_trace_t-sp3-dl-2.csv,1743275564,1743275867,40.42707,40.42688,-86.91627,-86.91676,static
t-sp3-dl-3,new,static,TP6,se3,20250329-spatial,20250329-spatial/gps_cellset_thput_0.1/gct_trace_t-sp3-dl-3.csv,1743275915,1743276191,40.427,40.42684,-86.9166,-86.91677,static
t-sp3-dl-4,new,static,TP6,se3,20250329-spatial,20250329-spatial/gps_cellset_thput_0.1/gct_trace_t-sp3-dl-4.csv,1743276191,1743276591,40.427,40.42689,-86.91657,-86.91685,static
