taskround,dataset_flag,static_flag,location,fine_grained_analysis_flag,date,file_path,min_ts,max_ts,max_lat,min_lat,max_lon,min_lon,static_flag_new
dl-t-home-campus-sa-1,old,driving,,,20241226,20241226/gps_cellset_thput_0.1/gct_trace_dl-t-home-campus-sa-1.csv,1735232983.0,1735234285.5,40.4245075,40.4212426,-86.8986678,-86.9052856,driving
dl-t-home-campus-sa-2,old,static,TP11,,20241226,20241226/gps_cellset_thput_0.1/gct_trace_dl-t-home-campus-sa-2.csv,1735236657.2,1735238533.1,40.4280515,40.42227,-86.9046746,-86.9177292,driving
dl-t-lwsnb-mid-1,old,static,TP6,se3,20241226,20241226/gps_cellset_thput_0.1/gct_trace_dl-t-lwsnb-mid-1.csv,1735247181.0,1735247296.9,40.4276565,40.4276383,-86.9170218,-86.9170525,static
dl-t-lwsnb-mid-2,old,static,TP6,se3,20241226,20241226/gps_cellset_thput_0.1/gct_trace_dl-t-lwsnb-mid-2.csv,1735247476.3,1735247580.8,40.4276388,40.4275618,-86.9168545,-86.9170211,static
t-uldl-both-home-campus,old,static,TP29,,20241227,20241227/gps_cellset_thput_0.1/gct_trace_t-uldl-both-home-campus.csv,1735314261.3,1735316770.1,40.4279875,40.4210491,-86.898421,-86.9175951,driving
t-uldl-both-campus-1,old,static,TP6,,20241227,20241227/gps_cellset_thput_0.1/gct_trace_t-uldl-both-campus-1.csv,1735317625.0,1735319125.1,40.4315653,40.4273175,-86.9120495,-86.9174413,driving
t-uldl-both-campus-2,old,static,TP27,,20241227,20241227/gps_cellset_thput_0.1/gct_trace_t-uldl-both-campus-2.csv,1735322268.0,1735324326.8,40.4333361,40.4273035,-86.910489,-86.9176633,driving
t-uldl-both-campus-3,old,static,TP27,,20241227,20241227/gps_cellset_thput_0.1/gct_trace_t-uldl-both-campus-3.csv,1735330103.1,1735333055.2,40.4332433,40.4273401,-86.9104828,-86.9174771,driving
t-uldl-sa-home-r1,old,driving,,,20241228,20241228/gps_cellset_thput_0.1/gct_trace_t-uldl-sa-home-r1.csv,1735413748.6,1735414349.6,40.4614952,40.4212332,-86.8980206,-86.9143691,driving
t-uldl-both-r1,old,static,TP34,,20241228,20241228/gps_cellset_thput_0.1/gct_trace_t-uldl-both-r1.csv,1735414701.3,1735417585.2,40.4866102,40.4544441,-86.8919336,-86.9348693,driving
t-uldl-both-r2,old,driving,,,20241228,20241228/gps_cellset_thput_0.1/gct_trace_t-uldl-both-r2.csv,1735417585.2,1735419751.3,40.49021,40.4604133,-86.8918863,-86.9561815,driving
t-uldl-both-r1-home,old,driving,,,20241228,20241228/gps_cellset_thput_0.1/gct_trace_t-uldl-both-r1-home.csv,1735419751.3,1735421089.9,40.4622859,40.4211625,-86.8981113,-86.9157565,driving
t-uldl-both-l2-all,old,static,TP27,,20241229,20241229/gps_cellset_thput_0.1/gct_trace_t-uldl-both-l2-all.csv,1735497425.4,1735497765.2,40.4322192,40.4309434,-86.9103569,-86.9131773,driving
t-uldl-both-l2-n41-only,old,static,TP27,,20241229,20241229/gps_cellset_thput_0.1/gct_trace_t-uldl-both-l2-n41-only.csv,1735497765.3,1735498103.3,40.4332001,40.4312647,-86.91049,-86.9109548,driving
t-uldl-both-l2-no-n25,old,static,TP27,,20241229,20241229/gps_cellset_thput_0.1/gct_trace_t-uldl-both-l2-no-n25.csv,1735498367.1,1735498587.8,40.4332401,40.4313307,-86.9104743,-86.9106944,driving
t-uldl-both-l2-mixed,old,static,TP27,,20241229,20241229/gps_cellset_thput_0.1/gct_trace_t-uldl-both-l2-mixed.csv,1735498698.9,1735499356.3,40.4331884,40.4308932,-86.9101271,-86.913155,driving
t-uldl-l1-single-1,old,static,TP27,,20250107,20250107/gps_cellset_thput_0.1/gct_trace_t-uldl-l1-single-1.csv,1736266416.0,1736266568.2,40.4319719,40.4314096,-86.9104462,-86.9105844,static
t-uldl-l1-repeated-1,old,static,TP27,,20250107,20250107/gps_cellset_thput_0.1/gct_trace_t-uldl-l1-repeated-1.csv,1736266631.8,1736266868.1,40.431972,40.4313899,-86.9101635,-86.9106481,static
t-uldl-l1-repeated-2,old,static,TP27,,20250107,20250107/gps_cellset_thput_0.1/gct_trace_t-uldl-l1-repeated-2.csv,1736266948.4,1736267377.8,40.4319571,40.4313134,-86.9102326,-86.9109127,static
t-uldl-l1-single-2,old,static,TP27,,20250107,20250107/gps_cellset_thput_0.1/gct_trace_t-uldl-l1-single-2.csv,1736268271.8,1736268444.0,40.4319063,40.4312958,-86.9104672,-86.9106074,static
t-uldl-home-lwsn,old,static,TP29,,20250116,20250116/gps_cellset_thput_0.1/gct_trace_t-uldl-home-lwsn.csv,1737037139.9,1737037793.9,40.42762,40.42122,-86.89844,-86.9175988,driving
t-uldl-r1-1,old,static,TP29,,20250116,20250116/gps_cellset_thput_0.1/gct_trace_t-uldl-r1-1.csv,1737048061.1,1737048820.5,40.43423,40.42211,-86.9009011,-86.91796,driving
t-uldl-r1-2,old,static,TP2,,20250116,20250116/gps_cellset_thput_0.1/gct_trace_t-uldl-r1-2.csv,1737048859.3,1737049690.1,40.43424,40.42213,-86.90086,-86.91674,driving
t-uldl-r1-3,old,static,TP2,,20250116,20250116/gps_cellset_thput_0.1/gct_trace_t-uldl-r1-3.csv,1737049731.1,1737050458.4,40.43424,40.42213,-86.90091,-86.91675,driving
t-uldl-r2-1,old,driving,,,20250116,20250116/gps_cellset_thput_0.1/gct_trace_t-uldl-r2-1.csv,1737050614.1,1737051676.1,40.46077,40.42207,-86.89807,-86.92041,driving
t-uldl-r2-2,old,driving,,,20250116,20250116/gps_cellset_thput_0.1/gct_trace_t-uldl-r2-2.csv,1737051834.8,1737052774.3,40.46056,40.42832,-86.89797,-86.9158,driving
t-uldl-r2-3,old,static,TP29,,20250116,20250116/gps_cellset_thput_0.1/gct_trace_t-uldl-r2-3.csv,1737052806.6,1737054251.9,40.46056,40.4222,-86.89808,-86.91726,driving
t-uldl-r3-1,old,driving,,,20250117,20250117/gps_cellset_thput_0.1/gct_trace_t-uldl-r3-1.csv,1737126871.6,1737127777.4,40.46887,40.42121,-86.8980411,-86.92455,driving
t-uldl-r3-2,old,driving,,,20250117,20250117/gps_cellset_thput_0.1/gct_trace_t-uldl-r3-2.csv,1737128237.5,1737129287.8,40.46888,40.45932,-86.89951,-86.91561,driving
t-uldl-r4-1,old,driving,,,20250117,20250117/gps_cellset_thput_0.1/gct_trace_t-uldl-r4-1.csv,1737129527.7,1737132030.7,40.48972,40.44551,-86.90645,-86.98221,driving
t-uldl-r4-campus,old,static,TP6,,20250117,20250117/gps_cellset_thput_0.1/gct_trace_t-uldl-r4-campus.csv,1737132103.0,1737132730.4,40.45753,40.427,-86.91453,-86.93123,driving
t-uldl-home-lwsn-1,old,driving,,,20250118,20250118/gps_cellset_thput_0.1/gct_trace_t-uldl-home-lwsn-1.csv,1737218511.7,1737219855.4,40.42442,40.42105,-86.89848,-86.90706,driving
