height,thput_10,thput_25,thput_50,thput_75,thput_90
0.0,0.7,2.2,7.6,37.6,93.7
60.0,126.0,303.7,494.3,727.2,1193.1
120.0,71.2,206.8,436.4,831.9,1500.5
