height,thput_10,thput_25,thput_50,thput_75,thput_90
0.0,6.5,11.3,29.8,41.0,79.6
60.0,48.4,108.4,231.8,386.4,554.3
120.0,27.0,96.9,263.3,562.8,1255.2
