height,thput_10,thput_25,thput_50,thput_75,thput_90
0.0,1.3,1.9,4.0,15.6,51.5
60.0,392.7,480.8,566.8,709.9,1167.9
120.0,100.2,203.8,312.5,428.7,581.1
