height,thput_10,thput_25,thput_50,thput_75,thput_90
0.0,1.9,7.8,43.1,69.2,102.3
60.0,287.2,405.8,532.9,835.6,1207.7
120.0,127.4,187.5,656.1,1670.4,1997.0
