thput,thput_divide_10,cdf
0.277,0.027700000000000002,0.0037174721189591076
0.44307142857142856,0.04430714285714286,0.011152416356877323
10.832,1.0832000000000002,0.022304832713754642
12.76,1.276,0.03345724907063196
15.016,1.5016,0.04089219330855017
17.296,1.7296,0.05204460966542749
17.712,1.7711999999999999,0.06319702602230481
17.992,1.7992000000000001,0.07063197026022303
19.092,1.9091999999999998,0.08178438661710034
19.464,1.9464,0.09293680297397766
19.632,1.9632,0.10037174721189587
20.28,2.028,0.11152416356877319
20.704,2.0704000000000002,0.12267657992565051
21.504,2.1504000000000003,0.13011152416356875
21.716,2.1716,0.1412639405204461
21.747999999999998,2.1748,0.15241635687732347
22.631999999999998,2.2632,0.16356877323420083
22.72,2.272,0.17100371747211907
22.936,2.2936,0.18215613382899642
23.16,2.316,0.19330855018587378
23.188,2.3188,0.20074349442379202
23.392000000000003,2.3392000000000004,0.21189591078066938
23.72,2.372,0.22304832713754674
23.808,2.3808,0.23048327137546498
24.032,2.4032,0.24163568773234234
24.608,2.4608,0.2527881040892197
24.664,2.4664,0.26022304832713794
25.168,2.5168,0.2713754646840153
26.016,2.6016,0.28252788104089266
26.468,2.6468,0.29368029739777
27.192,2.7192,0.30111524163568826
27.664,2.7664,0.3122676579925656
27.924,2.7923999999999998,0.323420074349443
28.136,2.8136,0.3308550185873612
28.28,2.8280000000000003,0.3420074349442386
28.392,2.8392,0.35315985130111593
28.492,2.8492,0.3605947955390342
28.576,2.8576,0.37174721189591153
28.64,2.864,0.3828996282527889
28.696,2.8696,0.39033457249070713
28.78,2.878,0.4014869888475845
28.864,2.8864,0.41263940520446185
28.904,2.8904,0.4200743494423801
28.92,2.8920000000000003,0.43122676579925745
29.008,2.9008,0.4423791821561348
29.572000000000003,2.9572000000000003,0.45353159851301217
30.16892857142857,3.016892857142857,0.4609665427509304
30.36,3.036,0.47211895910780777
31.464,3.1464,0.4832713754646851
31.98,3.198,0.49070631970260337
32.44,3.2439999999999998,0.5018587360594807
32.604,3.2603999999999997,0.5130111524163581
32.824,3.2824,0.5204460966542763
33.304,3.3304,0.5315985130111537
33.444,3.3444000000000003,0.542750929368031
33.608000000000004,3.3608000000000002,0.5501858736059493
33.78,3.378,0.5613382899628266
33.936,3.3936,0.572490706319704
34.104,3.4104,0.5836431226765814
34.5,3.45,0.5910780669144996
34.816,3.4816000000000003,0.602230483271377
35.376,3.5376,0.6133828996282543
35.391999999999996,3.5391999999999997,0.6208178438661726
35.92,3.592,0.6319702602230499
36.808,3.6808,0.6431226765799273
37.288,3.7287999999999997,0.6505576208178455
37.384,3.7384,0.6617100371747229
37.616,3.7616,0.6728624535316002
37.891999999999996,3.7891999999999997,0.6802973977695185
38.260000000000005,3.8260000000000005,0.6914498141263958
38.495999999999995,3.8495999999999997,0.7026022304832732
38.58,3.8579999999999997,0.7100371747211914
38.68000000000001,3.8680000000000008,0.7211895910780688
38.84,3.8840000000000003,0.7323420074349462
39.048,3.9048000000000003,0.7434944237918235
39.28,3.928,0.7509293680297418
39.696,3.9696,0.7620817843866191
40.532,4.0531999999999995,0.7732342007434965
40.844,4.0844000000000005,0.7806691449814147
40.944,4.0944,0.7918215613382921
42.168,4.2168,0.8029739776951694
42.912,4.2912,0.8104089219330877
43.056,4.3056,0.821561338289965
43.28,4.328,0.8327137546468424
43.604,4.3604,0.8401486988847606
44.44,4.444,0.851301115241638
45.248,4.5248,0.8624535315985153
47.448,4.7448,0.8736059479553927
48.896,4.8896,0.8810408921933109
49.084,4.9084,0.8921933085501883
49.78,4.978,0.9033457249070657
50.888,5.0888,0.9107806691449839
51.392,5.139200000000001,0.9219330855018613
51.796,5.1796,0.9330855018587386
52.224,5.2223999999999995,0.9405204460966569
54.104,5.4104,0.9516728624535342
54.904,5.4904,0.9628252788104116
56.048,5.6048,0.9702602230483298
56.52,5.652,0.9814126394052072
60.372,6.0372,0.9925650557620845
61.88,6.188000000000001,1.0000000000000027
