thput,thput_divide_10,cdf
11.692,1.1692,0.00398406374501992
15.744,1.5744,0.01195219123505976
16.992,1.6992,0.02390438247011952
19.104,1.9103999999999999,0.03187250996015936
19.54,1.954,0.04382470119521911
20.092,2.0092,0.051792828685258946
21.604,2.1604,0.0637450199203187
22.208,2.2207999999999997,0.07171314741035853
22.592,2.2592,0.08366533864541828
22.672,2.2672,0.09163346613545811
22.88,2.288,0.10358565737051786
23.084000000000003,2.3084000000000002,0.1115537848605577
23.34,2.334,0.12350597609561745
23.472,2.3472,0.13147410358565728
23.516,2.3516,0.14342629482071703
23.648,2.3648,0.15139442231075687
23.712,2.3712,0.16334661354581662
23.752,2.3752,0.17131474103585645
24.024,2.4024,0.1832669322709162
24.244,2.4244,0.19123505976095603
24.536,2.4536000000000002,0.20318725099601578
24.616,2.4616,0.21115537848605562
24.712,2.4712,0.22310756972111537
24.824,2.4824,0.2310756972111552
25.032,2.5032,0.24302788844621495
25.052,2.5052,0.2509960159362548
25.284,2.5284,0.26294820717131456
25.348,2.5347999999999997,0.2709163346613544
25.436,2.5436,0.28286852589641415
25.564,2.5564,0.290836653386454
25.628,2.5628,0.30278884462151373
25.832,2.5832,0.31075697211155356
26.144,2.6144,0.3227091633466133
26.288,2.6288,0.33067729083665315
26.44,2.644,0.3426294820717129
26.592,2.6592,0.35059760956175273
26.8,2.68,0.3625498007968125
26.88,2.6879999999999997,0.3705179282868523
26.96,2.696,0.38247011952191207
27.144,2.7144,0.3904382470119519
27.216,2.7216,0.40239043824701165
27.296,2.7296,0.4103585657370515
27.352,2.7352,0.42231075697211123
27.44,2.744,0.43027888446215107
27.543999999999997,2.7543999999999995,0.4422310756972108
27.695999999999998,2.7695999999999996,0.45019920318725065
27.804000000000002,2.7804,0.4621513944223104
27.903999999999996,2.7903999999999995,0.47011952191235024
28.344,2.8344,0.48207171314741
28.5,2.85,0.4900398406374498
28.84,2.884,0.5019920318725096
29.003999999999998,2.9004,0.5139442231075694
29.008,2.9008,0.5219123505976092
29.6,2.96,0.533864541832669
29.695999999999998,2.9696,0.5418326693227088
30.512,3.0512,0.5537848605577685
30.724,3.0724,0.5617529880478084
31.451999999999998,3.1452,0.5737051792828681
31.512,3.1512000000000002,0.581673306772908
31.808,3.1808,0.5936254980079677
32.104,3.2104,0.6015936254980075
32.392,3.2392000000000003,0.6135458167330673
32.624,3.2624000000000004,0.6215139442231071
32.936,3.2936,0.6334661354581669
33.152,3.3152,0.6414342629482067
33.352,3.3351999999999995,0.6533864541832665
33.384,3.3384,0.6613545816733063
33.624,3.3624,0.673306772908366
33.728,3.3728000000000002,0.6812749003984059
34.04,3.404,0.6932270916334656
34.164,3.4164000000000003,0.7011952191235055
34.584,3.4584,0.7131474103585652
34.744,3.4744,0.721115537848605
35.032,3.5031999999999996,0.7330677290836648
35.236,3.5235999999999996,0.7410358565737046
36.6,3.66,0.7529880478087644
37.14,3.714,0.7609561752988042
37.584,3.7584000000000004,0.772908366533864
38.07599999999999,3.8075999999999994,0.7808764940239038
38.464,3.8464,0.7928286852589636
38.548,3.8548,0.8007968127490034
38.952,3.8952,0.8127490039840631
42.008,4.2008,0.820717131474103
42.896,4.2896,0.8326693227091627
44.955999999999996,4.4956,0.8406374501992026
46.599999999999994,4.659999999999999,0.8525896414342623
47.88,4.788,0.8605577689243021
49.071999999999996,4.9072,0.8725099601593619
49.516000000000005,4.951600000000001,0.8804780876494017
53.064,5.3064,0.8924302788844615
55.104,5.5104,0.9003984063745013
57.064,5.7064,0.912350597609561
58.928,5.892799999999999,0.9203187250996009
59.512,5.9512,0.9322709163346606
62.292,6.2292000000000005,0.9402390438247005
63.12,6.311999999999999,0.9521912350597602
63.656,6.3656,0.9601593625498
65.75200000000001,6.575200000000001,0.9721115537848598
66.76,6.676,0.9800796812748996
68.152,6.8152,0.9920318725099594
