thput,thput_divide_10,cdf
0.32,0.032,0.0007215007215007215
1.632,0.16319999999999998,0.010101010101010104
3.824,0.38239999999999996,0.0202020202020202
6.416,0.6416000000000001,0.030303030303030283
8.104,0.8103999999999999,0.040404040404040366
9.16,0.916,0.05050505050505045
10.072,1.0071999999999999,0.06060606060606053
10.672,1.0672000000000001,0.07070707070707062
11.208,1.1208,0.08008658008657998
11.904,1.1904,0.09018759018759007
12.288,1.2288000000000001,0.10028860028860015
12.528,1.2528000000000001,0.11038961038961023
12.816,1.2816,0.12049062049062031
13.496,1.3496000000000001,0.1305916305916305
13.904,1.3904,0.14069264069264079
14.208,1.4208,0.15007215007215033
14.352,1.4352,0.1601731601731606
14.464,1.4464000000000001,0.17027417027417088
14.688,1.4688,0.18037518037518116
15.136,1.5135999999999998,0.19047619047619144
15.648,1.5648,0.20057720057720171
15.784,1.5784,0.210678210678212
15.88,1.588,0.22005772005772153
16.04,1.6039999999999999,0.2301587301587318
16.176,1.6176,0.2402597402597421
16.288,1.6288,0.25036075036075234
16.416,1.6416,0.2604617604617626
17.24,1.7239999999999998,0.2705627705627729
17.848,1.7848,0.28066378066378317
18.136,1.8135999999999999,0.2900432900432927
18.488,1.8488,0.300144300144303
19.528,1.9527999999999999,0.31024531024531327
20.296,2.0296,0.32034632034632354
21.16,2.116,0.3304473304473338
22.04,2.2039999999999997,0.3405483405483441
22.584,2.2584,0.3506493506493544
22.96,2.2960000000000003,0.3600288600288639
23.536,2.3536,0.3701298701298742
23.976,2.3975999999999997,0.38023088023088447
24.528,2.4528,0.39033189033189475
24.768,2.4768,0.400432900432905
25.048,2.5048,0.4105339105339153
25.696,2.5696000000000003,0.4206349206349256
26.28,2.628,0.4300144300144351
26.584,2.6584,0.4401154401154454
27.0,2.7,0.4502164502164557
27.336,2.7336,0.46031746031746595
27.512,2.7512,0.47041847041847623
27.928,2.7928,0.4805194805194865
28.608,2.8608000000000002,0.4906204906204968
29.272,2.9272,0.5000000000000063
30.12,3.012,0.5101010101010158
30.824,3.0824000000000003,0.5202020202020253
31.248,3.1248,0.5303030303030348
31.672,3.1672000000000002,0.5404040404040443
31.904,3.1904,0.5505050505050538
32.16,3.2159999999999997,0.5606060606060633
32.344,3.2344,0.5707070707070728
32.624,3.2624000000000004,0.5800865800865816
33.048,3.3048,0.5901875901875911
33.392,3.3392000000000004,0.6002886002886006
33.656,3.3655999999999997,0.6103896103896101
33.944,3.3944,0.6204906204906196
34.56,3.4560000000000004,0.6305916305916291
35.088,3.5088,0.6406926406926386
35.888,3.5888,0.6500721500721475
36.328,3.6328000000000005,0.660173160173157
37.12,3.7119999999999997,0.6702741702741665
37.776,3.7776000000000005,0.680375180375176
38.32,3.832,0.6904761904761855
38.592,3.8592,0.700577200577195
38.928,3.8928,0.7106782106782045
39.936,3.9936,0.7200577200577133
41.344,4.1344,0.7301587301587228
41.84,4.184,0.7402597402597323
42.176,4.2176,0.7503607503607418
43.08,4.308,0.7604617604617513
43.368,4.3368,0.7705627705627608
44.032,4.4032,0.7806637806637703
46.024,4.6024,0.7900432900432791
46.776,4.6776,0.8001443001442886
47.856,4.7856000000000005,0.8102453102452981
49.128,4.9128,0.8203463203463076
50.48,5.048,0.8304473304473171
51.456,5.1456,0.8405483405483266
52.24,5.224,0.8506493506493361
53.672,5.3671999999999995,0.8600288600288449
55.104,5.5104,0.8701298701298544
55.88,5.588,0.8802308802308639
57.416,5.7416,0.8903318903318734
58.144,5.8144,0.9004329004328829
59.168,5.9168,0.9105339105338924
60.704,6.0704,0.9206349206349019
61.52,6.152,0.9300144300144108
62.28,6.228,0.9401154401154203
62.784,6.2783999999999995,0.9502164502164298
63.36,6.336,0.9603174603174393
64.712,6.4712000000000005,0.9704184704184488
65.816,6.5816,0.9805194805194583
67.28,6.728,0.9906204906204678
