value,cdf
-120.664,0.021739130434782608
-116.803,0.043478260869565216
-111.511,0.06521739130434782
-110.77,0.08695652173913043
-110.48,0.10869565217391304
-109.18,0.13043478260869565
-102.94,0.15217391304347827
-102.58,0.17391304347826086
-102.2,0.1956521739130435
-100.8,0.21739130434782608
-98.683,0.2391304347826087
-98.223,0.2608695652173913
-97.831,0.2826086956521739
-96.52,0.30434782608695654
-96.369,0.32608695652173914
-94.928,0.34782608695652173
-94.9,0.3695652173913043
-94.847,0.391304347826087
-94.61,0.41304347826086957
-93.34,0.43478260869565216
-93.08,0.45652173913043476
-92.73,0.4782608695652174
-92.55,0.5
-92.24,0.5217391304347826
-92.008,0.5434782608695652
-91.84,0.5652173913043478
-91.48,0.5869565217391305
-91.05,0.6086956521739131
-90.52,0.6304347826086957
-90.49,0.6521739130434783
-89.73,0.6739130434782609
-88.66,0.6956521739130435
-88.59,0.717391304347826
-88.458,0.7391304347826086
-87.51,0.7608695652173914
-85.67500000000001,0.782608695652174
-85.44,0.8043478260869565
-85.28,0.8260869565217391
-84.41,0.8478260869565217
-84.38,0.8695652173913043
-83.55,0.8913043478260869
-80.38,0.9130434782608695
-80.12,0.9347826086956522
-78.56,0.9565217391304348
-76.52,0.9782608695652174
-73.36,1.0
