value,cdf
-144.982,0.022727272727272728
-134.8,0.045454545454545456
-124.355,0.06818181818181818
-123.75,0.09090909090909091
-121.314,0.11363636363636363
-113.78,0.13636363636363635
-111.77,0.1590909090909091
-110.81,0.18181818181818182
-110.523,0.20454545454545456
-110.36,0.22727272727272727
-108.59,0.25
-108.38,0.2727272727272727
-108.22,0.29545454545454547
-107.579,0.3181818181818182
-106.909,0.3409090909090909
-105.92,0.36363636363636365
-105.05,0.38636363636363635
-104.816,0.4090909090909091
-104.77,0.4318181818181818
-103.424,0.45454545454545453
-103.325,0.4772727272727273
-101.96,0.5
-100.38,0.5227272727272727
-100.04,0.5454545454545454
-99.718,0.5681818181818182
-99.02,0.5909090909090909
-98.63,0.6136363636363636
-97.88,0.6363636363636364
-96.92,0.6590909090909091
-96.64,0.6818181818181818
-93.84,0.7045454545454546
-93.209,0.7272727272727273
-92.991,0.75
-92.825,0.7727272727272727
-92.66,0.7954545454545454
-91.81,0.8181818181818182
-91.794,0.8409090909090909
-91.064,0.8636363636363636
-89.5,0.8863636363636364
-88.734,0.9090909090909091
-88.27,0.9318181818181818
-85.34,0.9545454545454546
-78.67,0.9772727272727273
-76.79,1.0
