value,cdf
-155.91,0.021739130434782608
-155.49,0.043478260869565216
-153.37,0.06521739130434782
-153.19,0.08695652173913043
-152.97,0.10869565217391304
-148.01999999999998,0.13043478260869565
-138.80200000000002,0.15217391304347827
-130.617,0.17391304347826086
-123.304,0.1956521739130435
-120.02,0.21739130434782608
-118.11,0.2391304347826087
-117.02,0.2608695652173913
-115.41,0.2826086956521739
-114.91,0.30434782608695654
-113.996,0.32608695652173914
-113.413,0.34782608695652173
-111.45,0.3695652173913043
-110.42,0.391304347826087
-109.86,0.41304347826086957
-108.61,0.43478260869565216
-107.46,0.45652173913043476
-107.19,0.4782608695652174
-106.45,0.5
-102.294,0.5217391304347826
-101.63,0.5434782608695652
-101.55,0.5652173913043478
-101.501,0.5869565217391305
-101.165,0.6086956521739131
-100.52,0.6304347826086957
-98.22,0.6521739130434783
-97.983,0.6739130434782609
-97.003,0.6956521739130435
-95.95,0.717391304347826
-95.533,0.7391304347826086
-93.52,0.7608695652173914
-93.48,0.782608695652174
-93.209,0.8043478260869565
-93.03,0.8260869565217391
-92.6,0.8478260869565217
-90.99,0.8695652173913043
-89.79,0.8913043478260869
-85.23,0.9130434782608695
-83.68,0.9347826086956522
-83.02,0.9565217391304348
-81.76,0.9782608695652174
-79.75,1.0
