column,rsrq,cause
4,-10.42,noloop
4,-10.39,noloop
4,-10.405,noloop
4,-10.38,noloop
4,-10.37,noloop
4,-10.38,noloop
4,-10.43,noloop
4,-10.38,noloop
4,-10.43,noloop
4,-10.4,noloop
4,-30.0,noloop
4,-10.34,noloop
4,-10.44,noloop
4,-10.52,noloop
4,-30.0,noloop
4,-10.38,noloop
4,-10.505,noloop
4,-10.63,noloop
4,-10.62,noloop
4,-30.0,noloop
4,-10.364999999999998,noloop
4,-10.42,noloop
4,-10.335,noloop
4,-10.53,noloop
4,-10.42,noloop
4,-30.0,noloop
4,-10.41,noloop
4,-10.54,noloop
4,-35.95,noloop
4,-10.64,noloop
4,-30.0,noloop
4,-10.465,noloop
4,-10.465,noloop
4,-10.45,noloop
4,-10.47,noloop
4,-10.45,noloop
4,-10.55,noloop
4,-10.58,noloop
4,-10.385,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-10.47,noloop
4,-10.45,noloop
4,-10.43,noloop
4,-10.515,noloop
4,-10.59,noloop
4,-10.64,noloop
4,-30.0,noloop
4,-10.56,noloop
4,-10.57,noloop
4,-10.64,noloop
4,-10.364999999999998,noloop
4,-10.38,noloop
4,-10.59,noloop
4,-10.59,noloop
4,-31.1,noloop
4,-10.65,noloop
4,-10.64,noloop
4,-10.53,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-10.56,noloop
4,-10.35,noloop
4,-10.625,noloop
4,-10.58,noloop
4,-30.0,noloop
4,-10.65,noloop
4,-10.63,noloop
4,-32.915000000000006,noloop
4,-23.55,noloop
4,-10.63,noloop
4,-10.55,noloop
4,-22.9,noloop
4,-21.49,noloop
4,-10.59,noloop
4,-10.55,noloop
4,-22.75,noloop
4,-10.42,noloop
4,-10.49,noloop
4,-10.44,noloop
4,-23.200000000000003,noloop
4,-10.59,noloop
4,-10.51,noloop
4,-21.38,noloop
4,-10.61,noloop
4,-10.5,noloop
4,-10.53,noloop
4,-21.16,noloop
4,-10.65,noloop
4,-10.49,noloop
4,-20.94,noloop
4,-10.535,noloop
4,-10.42,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-10.52,noloop
4,-22.18,noloop
4,-10.58,noloop
4,-10.48,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-10.5,noloop
4,-24.02,noloop
4,-10.56,noloop
4,-10.505,noloop
4,-10.61,noloop
4,-10.47,noloop
4,-10.47,noloop
4,-30.0,noloop
4,-10.4,noloop
4,-10.59,noloop
4,-10.51,noloop
4,-10.59,noloop
4,-10.43,noloop
4,-10.62,noloop
4,-30.0,noloop
4,-10.62,noloop
4,-10.53,noloop
4,-21.9,noloop
4,-22.225,noloop
4,-35.27,noloop
4,-41.66,noloop
4,-30.0,noloop
4,-10.48,noloop
4,-20.98,noloop
4,-10.56,noloop
4,-10.55,noloop
4,-10.58,noloop
4,-10.485,noloop
4,-10.625,noloop
4,-10.52,noloop
4,-30.0,noloop
4,-10.52,noloop
4,-10.49,noloop
4,-10.62,noloop
4,-10.465,noloop
4,-10.65,noloop
4,-10.5,noloop
4,-30.0,noloop
4,-25.91,noloop
4,-10.475,noloop
4,-21.11,noloop
4,-10.61,noloop
4,-10.55,noloop
4,-23.49,noloop
4,-26.93,noloop
4,-29.270000000000003,noloop
4,-10.43,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-10.49,noloop
4,-30.0,noloop
4,-10.55,noloop
4,-10.535,noloop
4,-10.49,noloop
4,-10.58,noloop
4,-30.0,noloop
4,-10.455,noloop
4,-30.0,noloop
4,-10.495,noloop
4,-10.54,noloop
4,-10.63,noloop
4,-10.645,noloop
4,-10.43,noloop
4,-10.61,noloop
4,-10.63,noloop
4,-10.59,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-10.575,noloop
4,-10.41,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-10.48,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-10.39,noloop
4,-10.55,noloop
4,-10.52,noloop
4,-10.535,noloop
4,-30.0,noloop
4,-10.46,noloop
4,-30.0,noloop
4,-10.605,noloop
4,-21.31,noloop
4,-10.64,noloop
