column,rsrp,cause
1,-101.165,S1E1
1,-98.34,S1E1
1,-89.34,S1E1
1,-96.29,S1E1
1,-99.2,S1E1
1,-145.9,S1E1
1,-91.76,S1E1
1,-94.225,S1E1
1,-101.9,S1E1
1,-100.635,S1E1
1,-87.43,S1E1
1,-95.59,S1E1
1,-95.325,S1E1
1,-90.69,S1E1
1,-95.31,S1E1
1,-86.07,S1E1
1,-92.02,S1E1
1,-96.28,S1E1
1,-97.26,S1E1
2,-138.445,S1E2
2,-85.49,S1E2
2,-84.97,S1E2
2,-126.055,S1E2
2,-82.41,S1E2
2,-117.505,S1E2
2,-85.11500000000001,S1E2
2,-82.77,S1E2
2,-122.42,S1E2
2,-137.97,S1E2
2,-132.76,S1E2
2,-128.47,S1E2
2,-82.77,S1E2
2,-123.24,S1E2
2,-84.05,S1E2
2,-118.61,S1E2
2,-155.99,S1E2
2,-155.84,S1E2
2,-122.23,S1E2
2,-128.71,S1E2
2,-120.86,S1E2
2,-81.52,S1E2
2,-84.315,S1E2
2,-85.715,S1E2
2,-132.515,S1E2
2,-122.655,S1E2
2,-118.85,S1E2
2,-120.15,S1E2
2,-84.84,S1E2
2,-83.805,S1E2
2,-82.115,S1E2
2,-79.685,S1E2
2,-80.635,S1E2
2,-79.84,S1E2
2,-155.98,S1E2
2,-117.92,S1E2
2,-84.42,S1E2
2,-82.785,S1E2
2,-82.78999999999999,S1E2
2,-119.62,S1E2
2,-75.27,S1E2
2,-76.82499999999999,S1E2
3,-79.22,S1E3
3,-79.62,S1E3
3,-80.515,S1E3
3,-79.77,S1E3
3,-80.3,S1E3
3,-79.485,S1E3
3,-80.67,S1E3
3,-66.33,S1E3
3,-76.935,S1E3
3,-74.69999999999999,S1E3
3,-79.85,S1E3
3,-80.92,S1E3
3,-128.59,S1E3
3,-108.72,S1E3
3,-80.53,S1E3
3,-107.67,S1E3
3,-76.24,S1E3
3,-104.06,S1E3
3,-102.715,S1E3
3,-115.87,S1E3
3,-76.16,S1E3
