index,phone,op12r_old,op12r_new,op13,op13r,s23,op10pro,pixel5
1,PV1,0.6,0.4,1,0.4,0.6,0.6,1
2,PV2,1,0.8,1,1,1,1,0.6
3,PV3,0.565217391,0.8,0.6,0.4,0.4,0.8,0.8
4,PV4,0.8,0.8,1,0.6,0.8,1,1
5,PV5,0.555555556,0.6,0.8,0.8,0.4,0.6,0.6
