ratio,cdf
0.08571428571428572,0.05
0.1111111111111111,0.1
0.1111111111111111,0.15000000000000002
0.11538461538461539,0.2
0.1388888888888889,0.25
0.16,0.3
0.17142857142857143,0.35
0.17391304347826086,0.39999999999999997
0.19444444444444445,0.44999999999999996
0.2,0.49999999999999994
0.20588235294117646,0.5499999999999999
0.22580645161290322,0.6
0.24242424242424243,0.65
0.2571428571428571,0.7000000000000001
0.2647058823529412,0.7500000000000001
0.26666666666666666,0.8000000000000002
0.26666666666666666,0.8500000000000002
0.2962962962962963,0.9000000000000002
0.3333333333333333,0.9500000000000003
0.3888888888888889,1.0000000000000002
