grid_lat,grid_lon,grid_height,total_thput_sample_num,max_thput_50,med_thput_50,min_thput_50,max_thput_25,med_thput_25,min_thput_25,max_med_thput_gap,max_med_thput_gap_ratio,max_min_thput_gap,max_min_thput_gap_ratio,cell_duration_ratio_1,cell_duration_ratio_2,cell_duration_ratio_3,realized_throughput,realized_throughput_ratio,missed_throughput,missed_throughput_ratio,max_mean_rbs,mean_rbs,missed_rbs,utilized_rbs_ratio,missed_rbs_ratio
-86.92,40.46,0,32,9.724714285714285,8.870785714285715,7.4954285714285716,8.63175,8.06925,3.9021428571428576,0.85392857142857,0.096263014228084,2.229285714285713,0.2974193794312722,0.0,0.0,0.0,9.109285714285715,0.9367149971354283,0.6154285714285699,0.0632850028645717,10.208333333333334,9.5,0.7083333333333339,0.9306122448979591,0.06938775510204087
-86.92,40.4605,0,138,13.99657142857143,11.687,5.662,12.761333333333337,8.994,4.9055,2.309571428571431,0.19761884389248147,8.33457142857143,1.472018973608518,0.11029411764705882,0.11029411764705882,0.0,12.21542857142857,0.872744345554013,1.7811428571428607,0.12725565444598702,20.285714285714285,8.837837837837839,11.447876447876446,0.4356680624286259,0.5643319375713741
-86.92,40.461,0,131,15.12177777777778,12.575809523809523,10.691642857142856,13.475333333333332,10.010000000000002,9.5185,2.5459682539682564,0.20244965138411383,4.430134920634924,0.41435492934327167,0.0,0.0,0.0,12.430222222222223,0.8220079943569245,2.6915555555555564,0.17799200564307552,3.0294117647058822,5.297872340425532,0.0,1.748812228878331,0.0
-86.92,40.4615,0,127,14.0,14.0,14.0,13.036444444444443,13.036444444444443,13.036444444444443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.460444444444445,0.9614603174603175,0.5395555555555553,0.03853968253968253,14.135922330097088,13.189655172413794,0.9462671576832946,0.9330593974990526,0.06694060250094735
-86.92,40.462,0,137,13.846666666666668,13.846666666666668,13.846666666666668,11.867111111111113,11.867111111111113,11.867111111111113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.536,0.977563793933558,0.310666666666668,0.022436206066442078,3.5538461538461537,3.5813953488372094,0.0,1.0077519379844961,0.0
-86.92,40.4625,0,116,13.436,13.436,13.436,11.673083333333333,11.673083333333333,11.673083333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.436,1.0,0.0,0.0,3.1206896551724137,3.175438596491228,0.0,1.0175438596491229,0.0
-86.92,40.463,0,87,14.952,14.952,14.952,13.412,13.412,13.412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.952,1.0,0.0,0.0,3.0919540229885056,3.0919540229885056,0.0,1.0,0.0
-86.9195,40.46,0,32,10.917714285714286,10.328,9.738285714285714,9.301,8.651250000000001,8.0015,0.5897142857142867,0.05709859466637169,1.1794285714285717,0.12111254547588314,0.0,0.0,0.0,10.6065,0.9714945566837643,0.31121428571428567,0.02850544331623573,6.041666666666667,6.269230769230769,0.0,1.0376657824933686,0.0
-86.9195,40.4605,0,56,11.6605,10.229,9.795857142857145,10.139571428571427,8.92088888888889,8.188285714285714,1.4315000000000015,0.139945253690488,1.8646428571428562,0.19035014802175834,0.0,0.0,0.0,10.3385,0.8866257879164701,1.322000000000001,0.11337421208352993,5.147058823529412,4.98,0.1670588235294117,0.9675428571428571,0.032457142857142844
-86.9195,40.463,0,81,2.96,2.96,2.96,0.456,0.456,0.456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.96,1.0,0.0,0.0,2.8395061728395063,3.026315789473684,0.0,1.0657894736842104,0.0
-86.9195,40.4675,0,1,1.7497142857142858,1.7497142857142858,1.7497142857142858,1.7497142857142858,1.7497142857142858,1.7497142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7497142857142858,1.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0
-86.9195,40.468,0,241,21.446,11.378,8.232,18.9525,9.5355,7.505000000000001,10.068000000000001,0.8848655299701179,13.214000000000002,1.6051992225461618,0.8214285714285714,0.2857142857142857,0.0,10.175,0.47444744940781497,11.271,0.525552550592185,30.942857142857143,12.078212290502794,18.86464485235435,0.3903392706995363,0.6096607293004638
-86.9195,40.4685,0,11,7.935,6.7955000000000005,5.656000000000001,7.555714285714286,6.517607142857143,5.4795,1.139499999999999,0.16768449709366479,2.278999999999999,0.4029349363507777,0.0,0.0,0.0,6.87,0.8657844990548205,1.0649999999999995,0.13421550094517953,3.1666666666666665,3.1666666666666665,0.0,1.0,0.0
-86.919,40.46,0,32,12.4375,10.992,5.662,12.08875,9.340785714285715,5.25375,1.4454999999999991,0.1315047307132459,6.7755,1.196661956905687,0.14814814814814814,0.14814814814814814,0.0,11.179,0.8988140703517589,1.2584999999999997,0.10118592964824119,25.5,9.206896551724139,16.29310344827586,0.36105476673427994,0.6389452332657201
-86.919,40.4605,0,787,4.616857142857143,4.616857142857143,4.616857142857143,1.83,1.83,1.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.671,1.011727210842255,0.0,0.0,33.3816199376947,30.681318681318682,2.7003012563760187,0.9191081421028695,0.08089185789713052
-86.919,40.463,0,79,2.5448888888888885,2.5448888888888885,2.5448888888888885,0.9568888888888888,0.9568888888888888,0.9568888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5448888888888885,1.0,0.0,0.0,13.569620253164556,13.743589743589743,0.0,1.0128205128205128,0.0
