grid_lat,grid_lon,grid_height,total_sample,thput_mean,thput_std,thput_0,thput_25,thput_50,thput_75,thput_100,rbs_mean,rbs_std,rbs_0,rbs_25,rbs_50,rbs_75,rbs_100,rtt_mean,rtt_std,rtt_0,rtt_10,rtt_25,rtt_50,rtt_75,rtt_90,rtt_100
-86.9525,40.4585,0.0000,3.0000,46.6227,0.8637,45.9380,46.0135,46.0890,46.9650,47.8410,82.3333,9.4281,69.0000,79.0000,89.0000,89.0000,89.0000,111.3333,9.8770,102.0000,103.0000,104.5000,107.0000,116.0000,121.4000,125.0000
-86.9525,40.4590,0.0000,1.0000,56.1950,0.0000,56.1950,56.1950,56.1950,56.1950,56.1950,86.0000,0.0000,86.0000,86.0000,86.0000,86.0000,86.0000,118.0000,0.0000,118.0000,118.0000,118.0000,118.0000,118.0000,118.0000,118.0000
-86.9525,40.4670,0.0000,4.0000,22.3896,8.0508,11.0023,16.7443,23.8886,29.5340,30.7790,78.3333,0.4714,78.0000,78.0000,78.0000,78.5000,79.0000,123.9500,42.2695,51.8000,77.9600,117.2000,142.5000,149.2500,155.1000,159.0000
-86.9520,40.4575,0.0000,2.0000,34.3310,1.7060,32.6250,33.4780,34.3310,35.1840,36.0370,42.0000,39.0000,3.0000,22.5000,42.0000,61.5000,81.0000,129.0000,2.0000,127.0000,127.4000,128.0000,129.0000,130.0000,130.6000,131.0000
-86.9520,40.4580,0.0000,2.0000,13.7435,11.9715,1.7720,7.7578,13.7435,19.7293,25.7150,89.5000,2.5000,87.0000,88.2500,89.5000,90.7500,92.0000,108.4500,62.5500,45.9000,58.4100,77.1750,108.4500,139.7250,158.4900,171.0000
-86.9520,40.4670,0.0000,3.0000,27.5763,6.7708,18.3530,24.1565,29.9600,32.1880,34.4160,78.3333,0.4714,78.0000,78.0000,78.0000,78.5000,79.0000,218.3333,2.4944,215.0000,215.8000,217.0000,219.0000,220.0000,220.6000,221.0000
-86.9515,40.4570,0.0000,3.0000,30.9670,5.3533,25.6790,27.2990,28.9190,33.6109,38.3029,70.6667,2.8674,67.0000,69.0000,71.0000,72.5000,74.0000,129.6667,12.4989,118.0000,119.2000,121.0000,124.0000,135.5000,142.4000,147.0000
-86.9515,40.4670,0.0000,2.0000,15.5415,0.3575,15.1840,15.3627,15.5415,15.7203,15.8990,75.0000,3.0000,72.0000,73.5000,75.0000,76.5000,78.0000,344.0000,9.0000,335.0000,336.8000,339.5000,344.0000,348.5000,351.2000,353.0000
-86.9510,40.4560,0.0000,1.0000,20.0457,0.0000,20.0457,20.0457,20.0457,20.0457,20.0457,70.0000,0.0000,70.0000,70.0000,70.0000,70.0000,70.0000,428.0000,0.0000,428.0000,428.0000,428.0000,428.0000,428.0000,428.0000,428.0000
-86.9510,40.4565,0.0000,1.0000,38.6140,0.0000,38.6140,38.6140,38.6140,38.6140,38.6140,75.0000,0.0000,75.0000,75.0000,75.0000,75.0000,75.0000,112.0000,0.0000,112.0000,112.0000,112.0000,112.0000,112.0000,112.0000,112.0000
-86.9510,40.4670,0.0000,2.0000,5.3460,1.3760,3.9700,4.6580,5.3460,6.0340,6.7220,62.0000,22.0000,40.0000,51.0000,62.0000,73.0000,84.0000,421.0000,41.0000,380.0000,388.2000,400.5000,421.0000,441.5000,453.8000,462.0000
-86.9505,40.4555,0.0000,1.0000,38.2630,0.0000,38.2630,38.2630,38.2630,38.2630,38.2630,92.0000,0.0000,92.0000,92.0000,92.0000,92.0000,92.0000,154.0000,0.0000,154.0000,154.0000,154.0000,154.0000,154.0000,154.0000,154.0000
-86.9505,40.4560,0.0000,2.0000,9.1550,5.0730,4.0820,6.6185,9.1550,11.6915,14.2280,32.5000,20.5000,12.0000,22.2500,32.5000,42.7500,53.0000,385.5000,42.5000,343.0000,351.5000,364.2500,385.5000,406.7500,419.5000,428.0000
-86.9505,40.4670,0.0000,2.0000,9.5795,2.7765,6.8030,8.1913,9.5795,10.9678,12.3560,65.5000,12.5000,53.0000,59.2500,65.5000,71.7500,78.0000,354.5000,65.5000,289.0000,302.1000,321.7500,354.5000,387.2500,406.9000,420.0000
-86.9500,40.4550,0.0000,1.0000,13.8690,0.0000,13.8690,13.8690,13.8690,13.8690,13.8690,92.0000,0.0000,92.0000,92.0000,92.0000,92.0000,92.0000,272.0000,0.0000,272.0000,272.0000,272.0000,272.0000,272.0000,272.0000,272.0000
-86.9500,40.4555,0.0000,2.0000,36.2965,5.8285,30.4680,33.3822,36.2965,39.2107,42.1250,92.0000,0.0000,92.0000,92.0000,92.0000,92.0000,92.0000,186.0000,49.0000,137.0000,146.8000,161.5000,186.0000,210.5000,225.2000,235.0000
-86.9500,40.4670,0.0000,1.0000,3.6500,0.0000,3.6500,3.6500,3.6500,3.6500,3.6500,64.0000,0.0000,64.0000,64.0000,64.0000,64.0000,64.0000,387.0000,0.0000,387.0000,387.0000,387.0000,387.0000,387.0000,387.0000,387.0000
-86.9495,40.4545,0.0000,2.0000,32.9905,4.5825,28.4080,30.6992,32.9905,35.2818,37.5730,47.5000,44.5000,3.0000,25.2500,47.5000,69.7500,92.0000,84.7500,28.2500,56.5000,62.1500,70.6250,84.7500,98.8750,107.3500,113.0000
-86.9495,40.4550,0.0000,2.0000,28.3430,6.0520,22.2910,25.3170,28.3430,31.3690,34.3950,84.0000,0.0000,84.0000,84.0000,84.0000,84.0000,84.0000,133.5000,14.5000,119.0000,121.9000,126.2500,133.5000,140.7500,145.1000,148.0000
-86.9495,40.4670,0.0000,2.0000,9.1265,0.9445,8.1820,8.6543,9.1265,9.5987,10.0710,69.5000,5.5000,64.0000,66.7500,69.5000,72.2500,75.0000,469.5000,101.5000,368.0000,388.3000,418.7500,469.5000,520.2500,550.7000,571.0000
-86.9490,40.4535,0.0000,1.0000,21.9070,0.0000,21.9070,21.9070,21.9070,21.9070,21.9070,78.0000,0.0000,78.0000,78.0000,78.0000,78.0000,78.0000,217.0000,0.0000,217.0000,217.0000,217.0000,217.0000,217.0000,217.0000,217.0000
-86.9490,40.4540,0.0000,2.0000,25.2260,4.6990,20.5270,22.8765,25.2260,27.5755,29.9250,76.5000,1.5000,75.0000,75.7500,76.5000,77.2500,78.0000,223.0000,32.0000,191.0000,197.4000,207.0000,223.0000,239.0000,248.6000,255.0000
-86.9490,40.4545,0.0000,1.0000,22.2710,0.0000,22.2710,22.2710,22.2710,22.2710,22.2710,92.0000,0.0000,92.0000,92.0000,92.0000,92.0000,92.0000,289.0000,0.0000,289.0000,289.0000,289.0000,289.0000,289.0000,289.0000,289.0000
-86.9490,40.4670,0.0000,2.0000,6.4846,2.2674,4.2171,5.3509,6.4846,7.6183,8.7520,50.0000,0.0000,50.0000,50.0000,50.0000,50.0000,50.0000,460.0000,106.0000,354.0000,375.2000,407.0000,460.0000,513.0000,544.8000,566.0000
-86.9490,40.4675,0.0000,1.0000,6.0434,0.0000,6.0434,6.0434,6.0434,6.0434,6.0434,72.0000,0.0000,72.0000,72.0000,72.0000,72.0000,72.0000,467.0000,0.0000,467.0000,467.0000,467.0000,467.0000,467.0000,467.0000,467.0000
-86.9485,40.4530,0.0000,1.0000,6.8170,0.0000,6.8170,6.8170,6.8170,6.8170,6.8170,62.0000,0.0000,62.0000,62.0000,62.0000,62.0000,62.0000,305.0000,0.0000,305.0000,305.0000,305.0000,305.0000,305.0000,305.0000,305.0000
-86.9485,40.4535,0.0000,2.0000,19.3810,3.9150,15.4660,17.4235,19.3810,21.3385,23.2960,69.0000,15.0000,54.0000,61.5000,69.0000,76.5000,84.0000,247.0000,80.0000,167.0000,183.0000,207.0000,247.0000,287.0000,311.0000,327.0000
-86.9485,40.4675,0.0000,2.0000,5.5035,1.5145,3.9890,4.7462,5.5035,6.2607,7.0180,62.5000,12.5000,50.0000,56.2500,62.5000,68.7500,75.0000,593.5000,152.5000,441.0000,471.5000,517.2500,593.5000,669.7500,715.5000,746.0000
-86.9480,40.4525,0.0000,3.0000,30.3890,7.5449,24.3349,25.0709,25.8070,33.4161,41.0251,84.3333,10.8423,69.0000,80.5000,92.0000,92.0000,92.0000,204.3333,48.4034,142.0000,155.8000,176.5000,211.0000,235.5000,250.2000,260.0000
