grid_lat,grid_lon,grid_height,pcell_cid,pcell_freq,nrcell_cid,nrcell_freq,scell1_cid,scell1_freq,scell2_cid,scell2_freq,scell3_cid,scell3_freq,nrscell1_cid,nrscell1_freq,nrscell2_cid,nrscell2_freq,nrscell3_cid,nrscell3_freq,cell_set_type,total_avail_sample,avail_sample,avail_sample_ratio,total_thput_sample,thput_sample,thput_sample_ratio,thput_avg_dl,thput_std_dl,thput_0_dl,thput_10_dl,thput_25_dl,thput_50_dl,thput_75_dl,thput_90_dl,thput_100_dl,thput_avg_ul,thput_std_ul,thput_0_ul,thput_10_ul,thput_25_ul,thput_50_ul,thput_75_ul,thput_90_ul,thput_100_ul
-86.9165,40.4655,0,453,1200,71,125290,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,167,16,0.09580838323353294,82,13,0.15853658536585366,0.17801098901098905,0.1522997587645627,0.006857142857142857,0.008600000000000002,0.016,0.172,0.292,0.3716571428571429,0.448,7.089219780219782,5.780050378832173,0.25485714285714284,0.3212,0.409,7.892,12.22,14.4594,14.553,
-86.9165,40.4655,0,453,1200,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,167,72,0.4311377245508982,82,1,0.012195121951219513,0.272,0.0,0.272,0.272,0.272,0.272,0.272,0.272,0.272,11.643,0.0,11.643,11.643,11.643,11.643,11.643,11.643,11.643,
-86.9165,40.4655,0,248,1001,71,125290,68,66736,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,167,5,0.029940119760479042,82,5,0.06097560975609756,0.28162857142857145,0.0323856355156897,0.21942857142857142,0.24365714285714285,0.28,0.301,0.3017142857142857,0.30428571428571427,0.306,12.590028571428572,1.0903954811471488,10.822857142857144,11.372914285714286,12.198,12.451,13.676,13.751771428571429,13.802285714285714,
-86.9165,40.4655,0,248,1001,452,125290,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,167,1,0.005988023952095809,82,1,0.012195121951219513,0.035,0.0,0.035,0.035,0.035,0.035,0.035,0.035,0.035,1.09,0.0,1.09,1.09,1.09,1.09,1.09,1.09,1.09,
-86.9165,40.4655,0,248,1001,71,125290,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,167,3,0.017964071856287425,82,3,0.036585365853658534,0.537,0.2674559153704899,0.16,0.2678,0.4295,0.699,0.7255,0.7414,0.752,22.87890476190476,15.49205368411412,1.0,7.3646,16.9115,32.823,33.81835714285714,34.415571428571425,34.81371428571428,
-86.9165,40.4655,0,248,1001,210,125290,68,66736,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,167,3,0.017964071856287425,82,3,0.036585365853658534,0.4381904761904762,0.02149808829764903,0.422,0.4224,0.423,0.424,0.4462857142857143,0.4596571428571428,0.4685714285714285,20.28309523809524,2.306224355964821,17.386,17.99565714285714,18.91014285714286,20.434285714285714,21.73164285714286,22.510057142857143,23.029,
-86.9165,40.4655,0,248,1001,382,125290,68,66736,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,167,1,0.005988023952095809,82,1,0.012195121951219513,0.438,0.0,0.438,0.438,0.438,0.438,0.438,0.438,0.438,22.54,0.0,22.54,22.54,22.54,22.54,22.54,22.54,22.54,
-86.9165,40.4655,0,453,1200,721,520110,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,167,2,0.011976047904191617,82,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-86.9165,40.4655,0,453,1200,743,520110,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,167,3,0.017964071856287425,82,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-86.9165,40.4655,0,68,66736,71,125290,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,167,1,0.005988023952095809,82,1,0.012195121951219513,0.017,0.0,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.651,0.0,0.651,0.651,0.651,0.651,0.651,0.651,0.651,
-86.9165,40.4655,0,453,1200,452,125290,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,167,1,0.005988023952095809,82,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-86.9165,40.465,0,248,1001,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,923,203,0.2199349945828819,704,130,0.1846590909090909,0.2842338217338217,0.13849289122050035,0.0,0.13140000000000002,0.224,0.2825,0.329,0.3939000000000001,1.147,12.454685836385837,6.360301944991745,0.843,5.2999,9.829749999999999,12.711928571428572,14.36325,16.19332857142857,53.413,
-86.9165,40.465,0,68,1200,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,923,1,0.0010834236186348862,704,1,0.0014204545454545455,0.212,0.0,0.212,0.212,0.212,0.212,0.212,0.212,0.212,9.492,0.0,9.492,9.492,9.492,9.492,9.492,9.492,9.492,
