grid_lat,grid_height,cell_num
40.4656,30,5
40.4656,60,7
40.4656,90,6
40.4656,120,4
40.4657,0,2
40.4657,30,5
40.4657,60,7
40.4657,90,6
40.4657,120,4
40.4658,0,3
40.4658,30,5
40.4658,60,9
40.4658,90,6
40.4658,120,4
40.4659,0,2
40.4659,30,5
40.4659,60,7
40.4659,90,6
40.4659,120,4
40.466,0,3
40.466,30,5
40.466,60,8
40.466,90,6
40.466,120,4
40.4661,0,2
40.4661,30,5
40.4661,60,7
40.4661,90,6
40.4661,120,4
40.4662,0,1
40.4662,30,5
40.4662,60,8
40.4662,90,6
40.4662,120,4
40.4663,0,2
40.4663,30,5
40.4663,60,8
40.4663,90,6
40.4663,120,4
40.4664,0,2
40.4664,30,5
40.4664,60,7
40.4664,90,5
40.4664,120,4
40.4665,0,4
40.4665,30,5
40.4665,60,8
40.4665,90,5
40.4665,120,4
40.4666,0,2
40.4666,30,5
40.4666,60,8
40.4666,90,5
40.4666,120,4
40.4667,0,3
40.4667,30,5
40.4667,60,7
40.4667,90,4
40.4667,120,4
40.4668,0,3
40.4668,30,5
40.4668,60,8
40.4668,90,4
40.4668,120,4
40.4669,0,2
40.4669,30,5
40.4669,60,6
40.4669,90,6
40.4669,120,4
40.467,0,3
40.467,30,5
40.467,60,8
40.467,90,3
40.467,120,4
40.4671,0,3
40.4671,30,5
40.4671,60,5
40.4671,90,3
40.4671,120,4
40.4672,0,2
40.4672,30,5
40.4672,60,6
40.4672,90,3
40.4672,120,4
40.4673,0,2
40.4673,30,5
40.4673,60,7
40.4673,90,5
40.4673,120,4
40.4674,0,2
40.4674,30,5
40.4674,60,6
40.4674,90,4
40.4674,120,4
40.4675,0,2
40.4675,30,5
40.4675,60,7
40.4675,90,5
40.4675,120,4
40.4676,0,1
40.4676,30,5
40.4676,60,6
40.4676,90,4
40.4676,120,4
40.4677,0,1
40.4677,30,5
40.4677,60,5
40.4677,90,4
40.4677,120,4
40.4678,0,3
40.4678,30,5
40.4678,60,5
40.4678,90,5
40.4678,120,4
40.4679,0,1
40.4679,30,5
40.4679,60,6
40.4679,90,5
40.4679,120,4
40.468,0,2
40.468,30,5
40.468,60,6
40.468,90,4
40.468,120,4
40.4681,0,3
40.4681,30,5
40.4681,60,6
40.4681,90,4
40.4681,120,4
40.4682,0,3
40.4682,30,4
40.4682,60,6
40.4682,90,4
40.4682,120,4
40.4683,0,3
40.4683,30,4
40.4683,60,6
40.4683,90,5
40.4683,120,4
40.4684,0,3
40.4684,30,4
40.4684,60,5
40.4684,90,5
40.4684,120,4
40.4685,0,2
40.4685,30,4
40.4685,60,5
40.4685,90,4
40.4685,120,4
